DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-15:55:51.490;TwistS_;6.805368;1;10;919;1708;1811;1672;1451;1546;1533;1623;1593;1477;0;0;0;0;0;0;14;14;13;12;11;11;15;18;15;16;0;0;0;0;0;0;92;80;85;92;60;35;85;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:51.730;TwistZ_;6.805368;1;10;1088;1822;1887;1748;1644;1657;1661;1625;1565;1381;0;0;0;0;0;0;12;17;15;12;21;24;25;15;12;12;0;0;0;0;0;0;50;71;100;85;100;100;100;57;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:51.978;TwistS_;6.805368;1;10;1098;1766;1992;1781;1695;1651;1518;1515;1469;1447;0;0;0;0;0;0;14;12;12;12;16;13;12;17;13;14;0;0;0;0;0;0;85;92;66;35;100;78;78;100;85;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:52.218;TwistZ_;6.807492;1;10;1354;1386;1735;1761;1799;1721;1732;1669;1555;1523;0;0;0;0;0;0;11;12;13;12;13;13;17;15;11;12;0;0;0;0;0;0;57;64;92;100;100;86;100;100;78;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:52.474;TwistS_;6.807492;1;10;1186;1619;1964;1812;1662;1658;1661;1656;1649;1631;0;0;0;0;0;0;11;16;20;16;11;12;16;19;15;13;0;0;0;0;0;0;85;78;100;100;57;71;78;100;92;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:52.714;TwistZ_;6.807492;1;10;1207;1596;1921;1784;1653;1628;1669;1660;1704;1469;0;0;0;0;0;0;14;18;17;14;23;24;21;19;16;11;0;0;0;0;0;0;92;85;100;78;100;100;100;100;85;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:52.963;TwistS_;6.807492;1;10;908;1769;1854;1726;0;1653;1540;1569;1568;1528;0;0;0;0;0;0;13;12;18;12;0;15;15;18;16;16;0;0;0;0;0;0;100;71;100;92;0;93;100;100;92;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:53.211;TwistZ_;6.807277;1;10;915;1699;1762;1724;1734;1669;1571;1743;1746;1481;0;0;0;0;0;0;13;14;11;15;16;16;12;19;18;13;0;0;0;0;0;0;57;60;85;100;100;100;78;85;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:53.460;TwistS_;6.807277;1;10;1263;1798;1941;1778;1628;1539;1572;1357;1406;1372;0;0;0;0;0;0;13;18;18;17;15;11;15;17;16;14;0;0;0;0;0;0;50;71;100;100;100;78;85;40;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:53.707;TwistZ_;6.807277;1;10;985;1657;1748;1746;1714;1686;1686;1720;1728;1544;0;0;0;0;0;0;13;13;12;11;16;17;18;18;15;14;0;0;0;0;0;0;78;50;92;71;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:53.955;TwistS_;6.807277;1;10;1510;1464;1820;1799;1918;1988;1875;1745;1748;1621;0;0;0;0;0;0;13;11;15;13;17;16;17;16;17;14;0;0;0;0;0;0;64;71;93;100;85;100;100;93;85;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:54.195;TwistZ_;6.806118;1;10;1329;615;2042;0;1777;1738;1826;1849;1820;1770;0;0;0;0;0;0;13;14;12;0;11;12;12;17;15;15;0;0;0;0;0;0;92;42;100;0;85;60;85;100;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:54.448;TwistS_;6.806118;1;10;1136;1427;1912;1862;1582;1559;1656;1661;1640;1555;0;0;0;0;0;0;15;18;13;13;11;13;20;20;12;16;0;0;0;0;0;0;71;73;100;100;50;86;78;100;73;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:54.695;TwistZ_;6.806118;1;10;960;1840;1902;1728;1653;1623;1582;1482;1590;1515;0;0;0;0;0;0;13;17;13;14;15;14;14;12;12;12;0;0;0;0;0;0;71;85;100;100;100;100;100;86;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:54.943;TwistS_;6.806118;1;10;820;1835;1983;1787;1591;1647;1393;1422;1503;1439;0;0;0;0;0;0;11;12;11;12;12;11;15;15;13;17;0;0;0;0;0;0;28;42;86;85;85;57;100;93;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:55.184;TwistZ_;6.807994;1;10;1100;1529;2050;1765;1640;1582;1677;1723;1630;1636;0;0;0;0;0;0;13;12;10;12;14;14;16;12;11;16;0;0;0;0;0;0;100;64;14;57;80;100;57;85;42;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:55.440;TwistS_;6.807994;1;10;1150;1535;1977;1974;1766;1745;1704;1499;1628;1457;0;0;0;0;0;0;16;11;10;11;15;16;12;13;15;13;0;0;0;0;0;0;78;35;53;71;100;100;78;80;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:55.680;TwistZ_;6.807994;1;10;1161;1851;1937;1875;1828;1753;1686;1675;1682;1451;0;0;0;0;0;0;13;14;17;17;19;18;19;14;15;12;0;0;0;0;0;0;78;71;100;100;100;100;100;100;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:55:55.928;TwistS_;6.807994;1;10;1184;1669;2084;1816;1704;1661;1611;1554;1519;1519;0;0;0;0;0;0;11;14;12;10;14;15;14;15;21;17;0;0;0;0;0;0;64;57;46;14;78;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
