DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-01:38:01.240;TwistS_;6.385939;1;10;1113;1372;1853;1640;1574;1538;1458;1479;1530;1438;0;0;0;0;0;0;11;13;14;16;18;23;16;17;16;15;0;0;0;0;0;0;27;81;100;54;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:01.496;TwistZ_;6.37963;1;10;1351;1386;1750;1689;1586;1525;1450;1486;1381;1330;0;0;0;0;0;0;11;13;20;17;13;12;11;19;15;14;0;0;0;0;0;0;36;81;100;100;100;63;18;100;63;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:01.760;TwistS_;6.37963;1;10;988;1127;1783;1653;1562;1534;1458;1505;1470;1362;0;0;0;0;0;0;13;13;14;17;19;20;17;15;16;12;0;0;0;0;0;0;72;54;100;100;100;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:02.024;TwistZ_;6.37963;1;10;1330;1845;1948;1893;1745;1607;1601;1508;1462;1381;0;0;0;0;0;0;11;10;11;14;16;12;14;14;15;12;0;0;0;0;0;0;63;27;75;100;100;63;81;75;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:02.288;TwistS_;6.37963;1;10;1305;1450;1722;1594;1542;1472;1434;1424;1426;1410;0;0;0;0;0;0;11;14;14;15;14;12;13;16;14;14;0;0;0;0;0;0;63;72;83;100;100;72;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:02.552;TwistZ_;6.382046;1;10;1309;1680;1722;1574;1530;1486;1450;1475;1388;1337;0;0;0;0;0;0;10;12;12;13;16;14;15;11;16;15;0;0;0;0;0;0;45;36;83;100;100;100;100;58;45;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:02.809;TwistS_;6.382046;1;10;1079;1016;1713;1612;1574;1550;1546;1510;1549;1379;0;0;0;0;0;0;12;13;14;12;15;19;14;14;13;13;0;0;0;0;0;0;63;72;100;90;100;100;100;66;72;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:03.073;TwistZ_;6.382046;1;10;1087;1120;1749;1674;1582;1546;1538;1406;1346;1362;0;0;0;0;0;0;13;11;14;15;18;16;15;17;18;13;0;0;0;0;0;0;72;18;91;90;100;100;90;58;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:03.339;TwistS_;6.382046;1;10;1312;1481;1750;1705;1594;1530;1510;1472;1428;1338;0;0;0;0;0;0;11;16;18;18;19;17;14;13;13;15;0;0;0;0;0;0;63;63;100;100;100;100;100;100;72;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:38:03.601;TwistZ_;6.36299;1;10;966;1669;1599;1738;1578;1558;1554;1560;1526;1375;0;0;0;0;0;0;12;12;12;12;19;19;15;16;14;16;0;0;0;0;0;0;63;36;41;63;100;100;100;83;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
