DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-11:01:24.200;TwistS_;6.798763;1;10;499;567;655;351;322;386;364;461;806;755;0;0;0;0;0;0;13;14;15;10;15;15;17;14;14;15;0;0;0;0;0;0;100;100;100;27;54;50;90;72;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:24.448;TwistZ_;6.798763;1;10;536;297;719;307;395;307;769;767;703;659;0;0;0;0;0;0;15;20;13;10;10;10;12;18;12;13;0;0;0;0;0;0;90;81;72;27;9;18;18;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:24.696;TwistS_;6.798763;1;10;466;465;678;364;791;283;721;775;640;358;0;0;0;0;0;0;15;16;15;15;13;16;11;16;13;15;0;0;0;0;0;0;72;45;81;63;36;100;63;100;63;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:24.945;TwistZ_;6.790237;1;10;269;241;791;342;619;558;358;747;619;673;0;0;0;0;0;0;14;20;14;15;15;15;16;19;15;13;0;0;0;0;0;0;63;54;36;45;100;100;54;100;90;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:25.193;TwistS_;6.790237;1;10;514;219;477;246;449;587;732;439;351;747;0;0;0;0;0;0;13;13;18;15;12;16;16;10;13;16;0;0;0;0;0;0;90;54;63;45;81;100;81;45;18;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:25.441;TwistZ_;6.790237;1;10;471;401;452;292;527;539;395;492;357;659;0;0;0;0;0;0;16;13;16;16;15;15;18;12;12;12;0;0;0;0;0;0;100;63;90;27;72;100;100;45;63;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:25.690;TwistS_;6.790237;1;10;327;243;681;322;0;263;363;791;791;395;0;0;0;0;0;0;17;17;14;10;0;18;14;19;21;12;0;0;0;0;0;0;100;100;90;27;0;90;100;100;45;18;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:25.929;TwistZ_;6.786506;1;10;316;479;756;331;313;452;519;514;791;759;0;0;0;0;0;0;13;12;13;13;16;16;15;13;19;15;0;0;0;0;0;0;90;100;81;100;63;90;100;90;27;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:26.187;TwistS_;6.786506;1;10;287;219;771;263;268;258;307;508;742;543;0;0;0;0;0;0;19;17;14;15;15;18;14;13;15;15;0;0;0;0;0;0;100;72;81;18;90;81;54;63;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:26.425;TwistZ_;6.786506;1;10;331;329;307;263;283;0;598;429;417;307;0;0;0;0;0;0;13;19;14;12;15;0;11;13;11;15;0;0;0;0;0;0;100;72;81;36;81;0;72;81;18;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-11:01:26.673;TwistS_;6.786506;1;10;431;355;703;243;344;0;0;571;351;772;0;0;0;0;0;0;13;14;15;28;15;0;0;10;12;15;0;0;0;0;0;0;100;100;63;100;54;0;0;18;18;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
