DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-14:22:53.871;TwistZ_;6.36004;1;10;1335;1072;1889;1680;1582;1602;1586;1586;1574;1386;0;0;0;0;0;0;11;12;12;13;16;14;17;15;18;13;0;0;0;0;0;0;45;41;81;72;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:54.127;TwistS_;6.36004;1;10;1113;1318;1831;1717;1562;1542;1494;1435;1450;1374;0;0;0;0;0;0;11;14;15;18;15;20;19;18;16;13;0;0;0;0;0;0;54;45;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:54.391;TwistZ_;6.36004;1;10;958;1120;1739;1625;1534;1617;1542;1523;1494;1469;0;0;0;0;0;0;14;16;16;15;18;18;20;20;13;15;0;0;0;0;0;0;90;90;100;90;100;100;100;100;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:54.655;TwistS_;6.368044;1;10;1362;1743;1779;1718;1621;1625;1388;1485;1546;1450;0;0;0;0;0;0;14;11;13;13;12;11;10;12;13;13;0;0;0;0;0;0;45;54;66;81;81;9;45;41;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:54.919;TwistZ_;6.368044;1;10;1274;563;1790;1721;1609;1560;1704;1426;1625;1518;0;0;0;0;0;0;13;18;14;14;15;14;13;16;13;14;0;0;0;0;0;0;90;54;100;100;72;72;81;91;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:55.183;TwistS_;6.368044;1;10;1252;922;1813;1722;1570;1462;1450;1453;1542;1516;0;0;0;0;0;0;11;12;14;13;15;18;15;14;13;15;0;0;0;0;0;0;36;36;91;90;100;100;100;100;90;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:55.448;TwistZ_;6.368075;1;10;1313;1790;1880;1845;1665;1622;1573;1466;1524;1352;0;0;0;0;0;0;16;11;11;10;17;21;13;11;13;13;0;0;0;0;0;0;81;33;45;18;100;100;90;72;83;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:55.712;TwistS_;6.368075;1;10;1340;1345;1765;1702;1604;1546;1594;1510;1529;1461;0;0;0;0;0;0;10;11;15;12;14;20;18;19;19;15;0;0;0;0;0;0;36;72;100;36;90;100;100;91;90;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:55.976;TwistZ_;6.368075;1;10;984;1113;1743;1312;1554;1530;1494;1508;1490;1456;0;0;0;0;0;0;10;11;15;11;13;18;11;12;15;13;0;0;0;0;0;0;45;81;100;63;100;100;63;50;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:56.233;TwistS_;6.368075;1;10;1182;849;1834;1765;1629;1633;1653;1529;1582;1406;0;0;0;0;0;0;12;14;13;10;12;15;11;12;12;11;0;0;0;0;0;0;90;54;100;54;100;100;72;83;72;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:56.496;TwistZ_;6.381016;1;10;1406;1098;1743;1697;1574;1533;1406;1538;1514;1414;0;0;0;0;0;0;10;13;13;13;16;11;11;14;16;14;0;0;0;0;0;0;9;63;100;100;100;90;27;91;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:56.768;TwistS_;6.381016;1;10;1142;1625;1735;1713;1582;1578;1523;1406;1425;1282;0;0;0;0;0;0;10;12;14;15;11;15;16;12;12;16;0;0;0;0;0;0;36;16;90;45;72;100;81;18;75;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:57.025;TwistZ_;6.381016;1;10;1441;1757;1697;1567;1546;1625;1578;1545;1538;1406;0;0;0;0;0;0;13;13;11;12;15;14;14;13;16;13;0;0;0;0;0;0;45;36;66;81;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:57.289;TwistS_;6.381016;1;10;571;1032;1735;1640;1578;1566;1542;1494;1516;1423;0;0;0;0;0;0;11;12;13;11;15;18;14;14;10;12;0;0;0;0;0;0;27;36;100;81;100;100;100;100;54;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:57.552;TwistZ_;6.379803;1;10;1010;908;1706;1652;1486;1530;1570;1494;1479;1494;0;0;0;0;0;0;11;13;16;14;17;18;19;17;12;15;0;0;0;0;0;0;63;27;100;90;100;100;100;100;81;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:57.817;TwistS_;6.379803;1;10;1111;1398;1865;1761;1616;1560;1555;1528;1569;1349;0;0;0;0;0;0;12;14;15;16;13;17;15;12;11;11;0;0;0;0;0;0;90;50;81;100;81;100;45;81;58;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:58.081;TwistZ_;6.379803;1;10;1065;991;1664;1705;1578;1558;1550;1541;1542;1428;0;0;0;0;0;0;14;13;12;10;13;15;21;17;13;14;0;0;0;0;0;0;72;81;66;45;100;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:58.345;TwistS_;6.379803;1;10;988;1192;1762;1713;1574;1518;1514;1523;1450;1406;0;0;0;0;0;0;14;13;16;15;15;21;21;20;14;12;0;0;0;0;0;0;54;72;83;100;100;100;100;100;100;18;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:22:58.609;TwistZ_;6.357817;1;10;1199;1401;1737;1677;1552;1494;1458;1438;1450;1314;0;0;0;0;0;0;13;15;16;16;17;20;15;17;16;15;0;0;0;0;0;0;63;75;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
