DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-08:55:03.363;TwistZ_;6.787524;1;10;377;424;339;747;791;591;640;512;454;571;0;0;0;0;0;0;12;13;15;13;15;12;13;13;14;10;0;0;0;0;0;0;90;54;63;81;100;100;63;81;54;9;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:03.611;TwistS_;6.787524;1;10;263;448;380;551;776;366;439;219;263;527;0;0;0;0;0;0;17;15;12;15;20;13;12;16;16;10;0;0;0;0;0;0;90;90;54;81;81;81;27;9;45;9;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:03.855;TwistZ_;6.787524;1;10;531;236;659;647;814;791;751;439;439;382;0;0;0;0;0;0;15;21;13;16;18;17;17;11;11;12;0;0;0;0;0;0;100;72;72;100;100;100;100;45;36;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:04.103;TwistS_;6.798253;1;10;299;307;415;322;395;395;492;615;298;503;0;0;0;0;0;0;15;13;13;12;11;13;12;11;12;12;0;0;0;0;0;0;100;81;81;54;63;80;90;9;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:04.351;TwistZ_;6.798253;1;10;276;283;329;318;0;395;0;0;722;683;0;0;0;0;0;0;21;19;14;14;0;15;0;0;11;13;0;0;0;0;0;0;63;100;36;72;0;20;0;0;81;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:04.599;TwistS_;6.798253;1;10;285;327;439;241;342;804;799;812;512;358;0;0;0;0;0;0;14;19;12;13;15;20;25;16;12;13;0;0;0;0;0;0;72;81;18;36;90;90;100;90;27;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:04.848;TwistZ_;6.798253;1;10;263;295;324;607;767;647;771;735;687;566;0;0;0;0;0;0;17;15;14;19;16;16;14;18;14;11;0;0;0;0;0;0;54;100;72;100;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:05.096;TwistS_;6.790881;1;10;331;263;845;505;747;582;483;292;0;360;0;0;0;0;0;0;14;13;14;14;16;13;11;13;0;12;0;0;0;0;0;0;100;81;72;72;81;72;36;54;0;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:05.344;TwistZ_;6.790881;1;10;522;422;505;263;307;725;373;641;467;551;0;0;0;0;0;0;14;13;13;16;13;13;13;13;13;16;0;0;0;0;0;0;90;72;36;9;60;36;18;90;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:05.584;TwistS_;6.790881;1;10;373;495;285;319;678;761;774;747;527;593;0;0;0;0;0;0;15;12;15;17;12;12;14;10;11;13;0;0;0;0;0;0;72;63;18;100;70;81;72;18;27;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:05.840;TwistZ_;6.790881;1;10;459;379;278;344;0;483;698;593;312;552;0;0;0;0;0;0;13;11;11;15;0;12;12;12;14;13;0;0;0;0;0;0;100;72;54;54;0;9;81;72;90;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:06.080;TwistS_;6.794412;1;10;424;408;366;332;483;395;428;362;432;263;0;0;0;0;0;0;13;19;13;14;15;13;11;13;11;12;0;0;0;0;0;0;54;63;54;63;27;45;36;72;54;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:06.328;TwistZ_;6.794412;1;10;457;318;346;693;527;544;642;580;410;404;0;0;0;0;0;0;14;13;17;12;12;11;13;12;11;11;0;0;0;0;0;0;90;72;81;81;63;50;72;90;27;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:06.577;TwistS_;6.794412;1;10;364;307;514;327;791;634;278;439;280;605;0;0;0;0;0;0;13;12;12;12;14;11;13;11;11;15;0;0;0;0;0;0;63;27;90;81;81;90;54;18;72;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:06.824;TwistZ_;6.794412;1;10;298;369;307;292;333;263;263;588;380;773;0;0;0;0;0;0;15;15;13;12;10;11;11;12;11;13;0;0;0;0;0;0;90;90;9;27;45;9;18;45;54;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:07.065;TwistS_;6.803862;1;10;302;331;386;355;807;549;595;587;401;493;0;0;0;0;0;0;15;13;11;12;13;14;14;14;13;12;0;0;0;0;0;0;81;100;45;100;72;60;100;100;63;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:07.313;TwistZ_;6.803862;1;10;263;285;492;269;717;307;322;494;508;563;0;0;0;0;0;0;23;15;12;15;13;12;13;11;12;13;0;0;0;0;0;0;45;54;45;72;27;36;27;72;63;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:07.561;TwistS_;6.803862;1;10;287;327;417;395;802;767;747;703;651;635;0;0;0;0;0;0;18;12;11;12;13;17;21;14;20;20;0;0;0;0;0;0;100;81;36;72;40;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-08:55:07.809;TwistZ_;6.803862;1;10;343;295;410;360;791;763;739;639;488;561;0;0;0;0;0;0;18;18;13;12;16;20;19;12;14;14;0;0;0;0;0;0;100;100;54;90;90;100;100;100;72;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
