DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-01:27:06.654;TwistS_;6.36118;1;10;1148;1252;1845;1693;1606;1544;1565;1538;1538;1518;0;0;0;0;0;0;10;10;15;13;13;10;14;15;12;15;0;0;0;0;0;0;72;18;100;100;100;63;72;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:06.918;TwistZ_;6.36118;1;10;1333;0;1790;1745;1677;1573;1577;1538;1518;1396;0;0;0;0;0;0;14;0;16;16;15;13;14;16;14;13;0;0;0;0;0;0;81;0;100;100;100;45;90;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:07.174;TwistS_;6.380186;1;10;1309;851;1805;1713;1637;1558;1530;1453;1484;1441;0;0;0;0;0;0;10;13;18;14;17;16;16;16;14;14;0;0;0;0;0;0;45;72;100;100;100;100;100;100;81;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:07.446;TwistZ_;6.380186;1;10;1171;1192;1709;1749;1650;1586;1625;1563;1578;1562;0;0;0;0;0;0;14;14;11;12;15;16;15;16;18;14;0;0;0;0;0;0;81;63;83;90;81;100;63;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:07.703;TwistS_;6.380186;1;10;1388;1882;1809;1625;1554;1534;1602;1538;1510;1486;0;0;0;0;0;0;12;13;13;12;13;14;13;13;16;17;0;0;0;0;0;0;45;54;100;90;100;100;100;91;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:07.967;TwistZ_;6.40243;1;10;1076;736;1849;1729;1653;1594;1542;1560;1578;1529;0;0;0;0;0;0;14;11;15;15;17;18;16;15;15;13;0;0;0;0;0;0;90;36;100;100;72;100;100;83;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:08.231;TwistS_;6.40243;1;10;1293;692;1836;1732;1644;1713;1680;1485;1478;1482;0;0;0;0;0;0;14;12;15;11;12;12;10;17;20;16;0;0;0;0;0;0;81;36;83;63;63;54;36;83;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:08.495;TwistZ_;6.40243;1;10;1351;549;1806;1845;1658;1510;1546;1545;1558;1418;0;0;0;0;0;0;16;10;12;10;14;18;19;16;12;14;0;0;0;0;0;0;72;18;83;9;72;72;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:08.760;TwistS_;6.40243;1;10;1486;1030;1878;1809;1705;1665;1450;1613;1586;1599;0;0;0;0;0;0;10;13;14;14;14;10;10;11;14;15;0;0;0;0;0;0;54;81;100;54;100;81;36;58;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:27:09.015;TwistZ_;6.377026;1;10;1318;1590;1713;1681;1590;1582;1586;1552;1474;1450;0;0;0;0;0;0;13;11;12;13;19;14;16;13;15;12;0;0;0;0;0;0;63;45;83;100;100;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
