DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-12:41:03.186;TwistZ_;6.793903;1;10;1072;1166;1757;1703;1648;1582;1592;1565;1391;1411;0;0;0;0;0;0;16;13;10;13;16;17;14;17;13;16;0;0;0;0;0;0;92;85;33;100;100;100;78;93;85;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:03.434;TwistS_;6.793903;1;10;1386;1379;1901;1837;1711;1640;1695;1683;1587;1530;0;0;0;0;0;0;11;16;16;18;21;24;13;16;11;11;0;0;0;0;0;0;42;92;73;100;100;100;100;100;71;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:03.682;TwistZ_;6.793903;1;10;1335;1257;1653;1608;1692;1665;1640;1590;1658;1582;0;0;0;0;0;0;14;13;11;12;15;16;15;12;13;10;0;0;0;0;0;0;100;92;60;78;64;100;92;46;92;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:03.930;TwistS_;6.793903;1;10;931;1904;1953;1820;1748;1699;1544;1556;1726;1441;0;0;0;0;0;0;18;15;13;14;13;13;14;11;13;11;0;0;0;0;0;0;71;57;40;92;42;78;100;46;92;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:04.178;TwistZ_;6.784068;1;10;1248;585;1710;1690;1644;1619;1649;1625;1623;1604;0;0;0;0;0;0;15;17;10;13;16;12;14;14;17;16;0;0;0;0;0;0;92;21;66;100;100;100;92;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:04.426;TwistS_;6.784068;1;10;1134;1440;1863;1657;1596;1594;1586;1541;1577;1602;0;0;0;0;0;0;14;14;20;16;16;19;17;14;16;17;0;0;0;0;0;0;78;85;100;100;85;100;100;86;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:04.666;TwistZ_;6.784068;1;10;1079;1766;1929;1812;1678;1628;1569;1539;1535;1439;0;0;0;0;0;0;15;19;19;19;21;21;21;20;20;18;0;0;0;0;0;0;85;92;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:04.922;TwistS_;6.784068;1;10;1189;1406;1699;1544;1539;1577;1443;1530;1406;1397;0;0;0;0;0;0;12;12;14;15;13;14;14;12;13;15;0;0;0;0;0;0;92;53;100;100;100;100;100;57;86;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:05.163;TwistZ_;6.79336;1;10;1398;1494;1712;1678;1570;1556;1314;1559;1582;1432;0;0;0;0;0;0;15;12;12;13;12;11;11;13;15;13;0;0;0;0;0;0;57;71;92;100;66;50;100;92;28;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:05.411;TwistS_;6.79336;1;10;979;1707;1767;1708;1556;1633;1613;1562;1510;1406;0;0;0;0;0;0;12;11;12;11;12;10;12;15;16;21;0;0;0;0;0;0;100;50;80;42;100;57;92;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:05.659;TwistZ_;6.79336;1;10;1239;1367;1510;1795;1740;1660;1611;1640;1644;1573;0;0;0;0;0;0;16;11;11;12;13;14;13;14;13;11;0;0;0;0;0;0;92;42;60;78;71;85;100;100;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:05.907;TwistS_;6.79336;1;10;1007;1435;1839;1753;1674;1602;1544;1491;1566;1193;0;0;0;0;0;0;13;19;19;21;22;23;21;13;12;12;0;0;0;0;0;0;71;100;100;100;100;100;100;86;78;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:06.155;TwistZ_;6.788507;1;10;1113;1507;1890;1728;1577;1502;1498;1515;1548;1415;0;0;0;0;0;0;14;16;19;22;22;18;17;18;17;13;0;0;0;0;0;0;78;78;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:06.403;TwistS_;6.788507;1;10;1093;1139;1590;1560;1669;1619;1538;1406;1540;1432;0;0;0;0;0;0;10;12;12;11;13;16;12;13;11;18;0;0;0;0;0;0;42;73;50;78;66;100;85;64;46;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:06.651;TwistZ_;6.788507;1;10;1015;1289;1604;1394;1323;1295;1472;1460;1464;1385;0;0;0;0;0;0;12;11;14;13;13;12;13;13;12;14;0;0;0;0;0;0;42;21;86;71;85;64;57;86;42;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:06.900;TwistS_;6.788507;1;10;878;1289;1699;1677;1506;1565;1573;1565;1459;1422;0;0;0;0;0;0;12;12;13;13;13;17;13;11;12;16;0;0;0;0;0;0;35;50;100;78;100;100;92;46;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:07.149;TwistZ_;6.772475;1;10;1230;1507;1895;1774;1675;1615;1619;1565;1565;1523;0;0;0;0;0;0;16;20;21;20;20;22;24;20;21;21;0;0;0;0;0;0;85;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:07.396;TwistS_;6.772475;1;10;1335;1623;1912;1761;1665;1605;1535;1441;1503;1445;0;0;0;0;0;0;14;16;19;19;22;21;16;13;12;13;0;0;0;0;0;0;71;93;100;100;100;100;100;71;80;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:41:07.636;TwistZ_;6.772475;1;10;1018;1087;1859;1730;1552;1601;1591;1596;1592;1450;0;0;0;0;0;0;14;16;12;18;13;12;14;16;12;11;0;0;0;0;0;0;57;64;100;92;85;85;92;80;78;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
