DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-11:39:31.204;TwistS_;6.804993;1;10;1092;1276;1906;1749;1532;1538;1552;1513;1515;1280;0;0;0;0;0;0;13;13;18;15;14;11;12;14;15;11;0;0;0;0;0;0;100;64;100;100;92;57;85;80;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:31.452;TwistZ_;6.797982;1;10;1352;1395;1852;1669;1640;1653;1607;1554;1582;1400;0;0;0;0;0;0;14;16;16;16;20;16;14;19;19;13;0;0;0;0;0;0;78;78;86;71;100;100;100;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:31.702;TwistS_;6.797982;1;10;1126;1385;1839;1732;1653;1613;1541;1539;1523;1523;0;0;0;0;0;0;13;15;17;16;18;12;13;15;14;12;0;0;0;0;0;0;64;100;100;100;100;92;92;100;100;14;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:31.948;TwistZ_;6.797982;1;10;1118;1482;1787;1704;1648;1665;1660;1527;1598;1445;0;0;0;0;0;0;13;14;12;11;18;18;14;16;19;12;0;0;0;0;0;0;85;71;93;85;100;100;85;100;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:32.196;TwistS_;6.797982;1;10;1274;1283;1838;1726;1402;1514;1523;1513;1518;1443;0;0;0;0;0;0;11;16;15;13;13;16;14;12;14;16;0;0;0;0;0;0;57;78;92;92;93;92;85;85;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:32.444;TwistZ_;6.791322;1;10;1406;1508;1757;1648;1561;1523;1523;1535;1488;1464;0;0;0;0;0;0;14;16;17;17;14;15;14;18;18;12;0;0;0;0;0;0;64;80;64;100;100;100;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:32.685;TwistS_;6.791322;1;10;787;1201;1838;1735;1674;1625;1569;1523;1541;1455;0;0;0;0;0;0;14;11;14;16;15;14;13;15;13;16;0;0;0;0;0;0;64;14;92;92;100;100;100;100;71;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:32.940;TwistZ_;6.791322;1;10;1325;1728;1690;1615;1565;1601;1555;1586;1547;1372;0;0;0;0;0;0;14;13;14;16;15;15;11;13;13;13;0;0;0;0;0;0;92;80;100;100;100;100;64;92;80;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:33.181;TwistS_;6.791322;1;10;1160;1294;1849;1721;1686;1687;1615;1535;1514;1464;0;0;0;0;0;0;13;16;13;11;16;19;14;12;13;15;0;0;0;0;0;0;71;71;100;92;100;100;100;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-11:39:33.429;TwistZ_;6.79061;1;10;1145;1196;1761;1561;1628;1640;1661;1625;1661;1447;0;0;0;0;0;0;15;15;16;16;21;18;22;19;14;13;0;0;0;0;0;0;78;85;100;100;100;100;100;100;100;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
