DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-18:05:26.619;TwistZ_;6.797506;1;10;1166;1091;1889;1757;1506;1505;1515;1783;1661;1425;0;0;0;0;0;0;13;14;15;15;13;10;13;12;14;13;0;0;0;0;0;0;78;57;80;85;100;71;100;60;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:26.871;TwistS_;6.780281;1;10;1263;1337;1875;1707;1615;1625;1598;1527;1594;1433;0;0;0;0;0;0;14;13;14;14;19;18;17;19;13;14;0;0;0;0;0;0;64;85;64;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:27.111;TwistZ_;6.780281;1;10;1230;1440;1665;1720;1609;1529;1582;1675;1544;1362;0;0;0;0;0;0;15;15;13;14;15;13;13;15;17;15;0;0;0;0;0;0;92;85;93;100;92;64;100;100;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:27.360;TwistS_;6.780281;1;10;1235;1677;1843;1731;1636;1615;1569;1554;1540;1428;0;0;0;0;0;0;12;18;17;12;20;18;21;17;17;16;0;0;0;0;0;0;85;57;100;78;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:27.608;TwistZ_;6.780281;1;10;1006;1508;1845;1736;1577;1464;1625;1488;1469;1432;0;0;0;0;0;0;13;11;14;17;12;17;13;16;17;17;0;0;0;0;0;0;78;57;93;100;85;92;57;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:27.856;TwistS_;6.779668;1;10;949;1289;1835;1711;1594;1602;1591;1595;1573;1326;0;0;0;0;0;0;13;12;15;18;16;15;15;14;14;14;0;0;0;0;0;0;71;71;80;100;100;100;92;86;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:28.104;TwistZ_;6.779668;1;10;1147;1686;1920;1741;1695;1640;1617;1565;1632;1656;0;0;0;0;0;0;15;12;14;12;16;18;15;13;14;12;0;0;0;0;0;0;85;64;86;100;100;100;71;93;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:28.352;TwistS_;6.779668;1;10;1048;1646;1734;1796;1684;1665;1636;1617;1577;1523;0;0;0;0;0;0;13;12;11;13;13;13;14;14;16;17;0;0;0;0;0;0;71;71;33;85;85;100;92;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:28.602;TwistZ_;6.779668;1;10;1095;1865;1690;1631;1615;1615;1540;1570;1576;1356;0;0;0;0;0;0;13;13;14;15;14;15;13;12;12;14;0;0;0;0;0;0;71;85;86;92;100;100;100;66;71;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:05:28.840;TwistS_;6.769222;1;10;1093;1486;1800;1728;1644;1602;1611;1609;1531;1448;0;0;0;0;0;0;14;13;13;15;21;20;16;14;15;16;0;0;0;0;0;0;85;78;73;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
