DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-12:08:39.242;TwistS_;6.364006;1;10;1307;571;1785;1669;1577;1560;1550;1518;1387;1417;0;0;0;0;0;0;10;11;12;13;12;11;17;11;13;14;0;0;0;0;0;0;36;36;66;90;90;72;100;75;63;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:39.506;TwistZ_;6.377888;1;10;1230;1625;1647;1582;1502;1489;1545;1485;1362;1327;0;0;0;0;0;0;13;10;12;14;13;13;12;14;14;12;0;0;0;0;0;0;27;25;72;72;90;75;54;90;91;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:39.770;TwistS_;6.377888;1;10;544;0;1625;1520;1490;1498;1431;1410;1431;1291;0;0;0;0;0;0;14;0;10;10;15;13;12;11;11;14;0;0;0;0;0;0;45;0;25;45;100;100;63;83;63;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:40.034;TwistZ_;6.377888;1;10;754;1250;1662;1602;1474;1476;1506;1413;1487;1230;0;0;0;0;0;0;18;17;15;11;12;14;14;15;11;11;0;0;0;0;0;0;54;81;100;100;100;90;100;100;63;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:40.290;TwistS_;6.378866;1;10;834;1582;1677;1546;1554;1480;1538;1538;1454;1284;0;0;0;0;0;0;10;11;10;11;14;13;11;12;14;13;0;0;0;0;0;0;27;45;50;90;100;90;90;91;90;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:40.562;TwistZ_;6.378866;1;10;1252;1593;1724;1578;1506;1502;1482;1478;1474;1357;0;0;0;0;0;0;11;11;16;19;17;17;16;13;17;14;0;0;0;0;0;0;18;36;100;100;100;100;100;91;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:40.818;TwistS_;6.378866;1;10;692;1197;1727;1617;1533;1516;1406;1402;1430;1450;0;0;0;0;0;0;12;12;12;12;11;14;17;19;20;16;0;0;0;0;0;0;36;36;83;100;90;90;100;100;100;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:41.083;TwistZ_;6.378866;1;10;1268;1625;1684;1617;1522;1510;1470;1373;1469;1054;0;0;0;0;0;0;12;13;16;15;16;15;14;15;16;11;0;0;0;0;0;0;72;36;100;100;100;100;100;100;81;9;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:41.346;TwistS_;6.382518;1;10;1104;1334;1857;1753;1598;1519;1437;1482;1450;1333;0;0;0;0;0;0;12;14;13;13;16;11;13;13;18;12;0;0;0;0;0;0;63;66;100;90;100;58;90;100;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-12:08:41.611;TwistZ_;6.382518;1;10;659;659;1582;1582;1549;1522;1554;1528;1501;1256;0;0;0;0;0;0;10;10;10;10;13;14;14;12;11;13;0;0;0;0;0;0;9;9;27;9;66;100;100;81;54;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
