DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-12:18:06.732;TwistZ_;6.384596;1;10;1004;1076;1582;1318;1609;1530;1574;1549;1578;1560;0;0;0;0;0;0;15;10;10;11;13;16;16;17;19;13;0;0;0;0;0;0;63;54;8;36;100;100;100;100;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:06.997;TwistS_;6.384596;1;10;1582;1376;1776;1640;1530;1574;1578;1546;1529;1476;0;0;0;0;0;0;10;12;14;14;19;19;16;16;11;13;0;0;0;0;0;0;18;27;100;81;100;100;100;83;45;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:07.253;TwistZ_;6.384596;1;10;966;1569;1792;1757;1625;1534;1462;1410;1510;1406;0;0;0;0;0;0;13;13;13;11;14;14;11;12;12;14;0;0;0;0;0;0;63;63;83;54;100;100;63;91;72;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:07.517;TwistS_;6.384431;1;10;1538;1479;1582;1560;1462;1442;1498;1469;1479;1445;0;0;0;0;0;0;14;10;12;14;15;17;15;12;15;11;0;0;0;0;0;0;63;27;41;54;100;100;100;75;81;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:07.782;TwistZ_;6.384431;1;10;1186;1018;1732;1641;1574;1542;1516;1549;1521;1428;0;0;0;0;0;0;14;12;13;14;16;14;11;12;13;16;0;0;0;0;0;0;54;54;100;100;100;100;72;66;72;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:08.045;TwistS_;6.384431;1;10;1362;1772;1772;1658;1566;1613;1538;1510;1482;1469;0;0;0;0;0;0;13;13;15;15;16;13;15;13;16;13;0;0;0;0;0;0;18;54;100;72;100;100;100;91;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:08.311;TwistZ_;6.384431;1;10;1235;1499;1611;1501;1402;1388;1362;1467;1486;1237;0;0;0;0;0;0;12;12;16;12;15;14;11;12;13;13;0;0;0;0;0;0;81;72;100;54;100;90;36;83;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:08.566;TwistS_;6.37473;1;10;1098;1045;1797;1730;1613;1602;1576;1534;1514;1423;0;0;0;0;0;0;13;11;13;14;16;14;11;12;17;11;0;0;0;0;0;0;63;45;91;72;100;100;72;100;100;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:08.831;TwistZ_;6.37473;1;10;952;1028;1779;1693;1582;1542;1529;1538;1566;1450;0;0;0;0;0;0;12;15;15;15;16;14;14;19;12;13;0;0;0;0;0;0;54;45;100;100;100;100;45;91;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:09.094;TwistS_;6.37473;1;10;0;1801;1801;1721;1625;1649;1545;1538;1466;1266;0;0;0;0;0;0;0;13;13;13;16;15;12;11;16;14;0;0;0;0;0;0;0;18;100;100;100;100;54;8;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:09.358;TwistZ_;6.37473;1;10;1406;1655;1915;1728;1564;1490;1498;1490;1450;1450;0;0;0;0;0;0;15;14;16;11;17;17;14;16;13;13;0;0;0;0;0;0;72;54;100;54;90;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:09.622;TwistS_;6.371608;1;10;0;1766;1757;1594;1625;1637;1594;1538;1458;1334;0;0;0;0;0;0;0;15;15;14;12;14;15;11;13;15;0;0;0;0;0;0;0;45;100;100;72;100;100;58;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:09.886;TwistZ_;6.371608;1;10;1098;1274;1810;1801;1669;1574;1558;1475;1474;1396;0;0;0;0;0;0;10;11;17;11;16;18;20;18;16;12;0;0;0;0;0;0;36;81;83;27;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-12:18:10.150;TwistS_;6.371608;1;10;1224;1186;1850;1713;1625;1526;1434;1347;1494;1389;0;0;0;0;0;0;12;14;14;16;15;16;15;17;13;11;0;0;0;0;0;0;72;72;83;100;100;100;100;100;63;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
