DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-10:48:53.266;TwistS_;6.77848;1;10;1080;1816;1746;1653;1675;1707;1531;1636;1455;1523;0;0;0;0;0;0;11;17;13;14;13;17;14;13;11;14;0;0;0;0;0;0;64;57;100;100;71;100;100;100;42;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:53.514;TwistZ_;6.77848;1;10;900;1586;1929;1837;1720;1648;1590;1582;1628;1531;0;0;0;0;0;0;12;19;18;20;24;22;21;21;21;16;0;0;0;0;0;0;78;85;100;100;100;100;100;100;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:53.763;TwistS_;6.778005;1;10;602;1625;1893;1803;1669;1531;1527;1591;1550;1482;0;0;0;0;0;0;13;18;16;18;18;19;15;16;15;15;0;0;0;0;0;0;50;80;92;100;100;100;92;92;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:54.003;TwistZ_;6.778005;1;10;1246;1888;1897;1845;1678;1593;1561;1531;1548;1476;0;0;0;0;0;0;13;21;13;13;20;21;19;17;17;11;0;0;0;0;0;0;78;64;92;85;100;100;100;100;100;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:54.258;TwistS_;6.778005;1;10;1447;1237;2006;1805;1669;1640;1657;1582;1618;1356;0;0;0;0;0;0;13;10;11;17;21;23;22;19;14;11;0;0;0;0;0;0;71;53;57;78;100;100;100;100;86;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:54.499;TwistZ_;6.778005;1;10;914;1389;1866;1745;1573;1542;1602;1544;1561;1582;0;0;0;0;0;0;15;18;19;19;18;21;22;18;18;16;0;0;0;0;0;0;71;100;100;100;100;100;100;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:54.747;TwistS_;6.770882;1;10;1406;1272;1906;1837;1774;1699;1655;1617;1571;1518;0;0;0;0;0;0;11;16;16;15;22;18;16;14;12;17;0;0;0;0;0;0;42;50;100;100;100;100;85;66;78;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:55.003;TwistZ_;6.770882;1;10;1664;1266;1996;1875;1695;1625;1661;1607;1683;1619;0;0;0;0;0;0;12;15;14;15;19;18;22;22;20;13;0;0;0;0;0;0;71;86;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:55.244;TwistS_;6.770882;1;10;1028;1108;1812;1724;1657;1573;1527;1546;1594;1506;0;0;0;0;0;0;14;15;20;18;22;22;19;19;17;13;0;0;0;0;0;0;78;85;100;100;100;100;100;100;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:55.499;TwistZ_;6.770882;1;10;1132;1223;1861;1741;1661;1615;1640;1679;1704;1440;0;0;0;0;0;0;14;11;11;14;18;15;18;19;15;12;0;0;0;0;0;0;85;57;86;100;100;100;100;100;85;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:55.740;TwistS_;6.77017;1;10;1277;1357;1751;1741;1694;1645;1607;1542;1619;1506;0;0;0;0;0;0;12;12;11;13;11;12;14;13;13;13;0;0;0;0;0;0;71;85;60;100;85;78;100;100;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:55.988;TwistZ_;6.77017;1;10;1081;1384;1699;1613;1655;1611;1611;1528;1582;1429;0;0;0;0;0;0;13;14;11;11;11;14;12;12;10;10;0;0;0;0;0;0;78;57;40;78;57;85;71;80;7;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:56.236;TwistS_;6.77017;1;10;1283;1552;2002;1875;1782;1741;1682;1595;1630;1569;0;0;0;0;0;0;13;12;12;13;18;22;14;12;12;12;0;0;0;0;0;0;71;57;73;100;100;100;100;86;85;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:56.484;TwistZ_;6.77017;1;10;1365;1335;2004;1862;1683;1648;1724;1669;1690;1552;0;0;0;0;0;0;15;16;14;16;20;19;23;24;22;14;0;0;0;0;0;0;92;71;100;100;100;100;100;100;100;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:56.732;TwistS_;6.77017;1;10;1181;747;1816;1845;1669;1550;1561;1540;1489;1372;0;0;0;0;0;0;14;20;10;18;20;23;20;17;15;13;0;0;0;0;0;0;85;53;35;100;100;100;100;100;93;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:56.972;TwistZ_;6.768443;1;10;1303;1541;1855;1736;1636;1586;1561;1437;1552;1540;0;0;0;0;0;0;11;17;20;20;21;21;19;18;20;18;0;0;0;0;0;0;57;92;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:57.228;TwistS_;6.768443;1;10;1295;688;1656;1677;1632;1595;1644;1541;1494;1435;0;0;0;0;0;0;12;10;12;13;15;12;16;14;13;12;0;0;0;0;0;0;64;28;73;57;100;92;100;86;85;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:57.468;TwistZ_;6.768443;1;10;1342;1331;1645;1828;1732;1669;1669;1687;1669;1625;0;0;0;0;0;0;13;14;13;19;20;23;23;17;23;14;0;0;0;0;0;0;85;78;80;100;100;100;100;100;100;28;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:48:57.717;TwistS_;6.768443;1;10;1414;1827;1953;1791;1636;1615;1569;1578;1623;1510;0;0;0;0;0;0;13;12;17;19;23;22;20;18;21;19;0;0;0;0;0;0;50;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
