DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-10:31:40.865;TwistS_;2.768175;1;10;672;716;864;869;791;714;667;761;767;760;0;0;0;0;0;0;14;11;12;15;16;12;11;18;23;17;0;0;0;0;0;0;38;38;64;92;46;30;38;21;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:41.481;TwistZ_;2.75179;1;10;629;566;801;780;774;775;763;784;816;780;0;0;0;0;0;0;11;14;21;20;19;18;20;17;17;14;0;0;0;0;0;0;46;64;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:42.086;TwistS_;2.75179;1;10;512;465;801;826;775;717;0;718;725;676;0;0;0;0;0;0;16;12;19;20;19;15;0;16;21;21;0;0;0;0;0;0;46;42;100;100;100;100;0;53;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:42.702;TwistZ_;2.74515;1;10;479;498;756;774;784;789;775;747;745;723;0;0;0;0;0;0;14;12;18;17;19;19;22;19;20;17;0;0;0;0;0;0;76;85;92;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:43.310;TwistS_;2.74515;1;10;645;313;0;840;780;731;731;728;711;729;0;0;0;0;0;0;14;12;0;15;13;14;15;14;17;16;0;0;0;0;0;0;76;28;0;84;100;71;100;92;57;76;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:43.919;TwistZ_;2.756606;1;10;741;331;277;281;696;774;736;723;785;782;0;0;0;0;0;0;13;11;13;12;11;12;18;13;16;14;0;0;0;0;0;0;30;92;100;46;76;28;100;100;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:44.527;TwistS_;2.747146;1;10;590;439;481;812;787;743;707;698;717;687;0;0;0;0;0;0;12;12;12;12;15;12;11;13;13;11;0;0;0;0;0;0;53;28;76;30;85;53;84;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:45.136;TwistZ_;2.747146;1;10;458;247;0;830;766;739;717;723;789;747;0;0;0;0;0;0;14;15;0;16;15;11;17;14;17;14;0;0;0;0;0;0;53;30;0;84;69;23;69;78;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:45.745;TwistS_;2.737925;1;10;586;553;803;821;773;769;745;728;688;651;0;0;0;0;0;0;13;18;20;19;16;15;16;17;17;13;0;0;0;0;0;0;53;78;92;100;69;7;84;100;64;69;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:46.360;TwistZ_;2.737925;1;10;472;527;559;798;772;745;756;756;747;730;0;0;0;0;0;0;13;10;17;20;17;20;15;16;13;14;0;0;0;0;0;0;46;42;84;100;100;100;100;92;64;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:46.960;TwistS_;2.751054;1;10;560;549;805;834;785;758;729;710;692;650;0;0;0;0;0;0;12;13;18;14;16;14;14;16;16;15;0;0;0;0;0;0;46;38;100;100;100;30;84;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:47.577;TwistZ_;2.749481;1;10;593;329;754;760;735;733;791;761;788;765;0;0;0;0;0;0;11;10;16;18;22;19;12;13;15;14;0;0;0;0;0;0;15;28;92;100;100;57;15;46;71;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:48.185;TwistS_;2.749481;1;10;593;246;627;860;809;737;720;709;725;675;0;0;0;0;0;0;13;13;12;16;16;14;18;20;21;17;0;0;0;0;0;0;69;64;53;100;100;78;100;100;100;84;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:48.801;TwistZ_;2.748744;1;10;478;298;324;791;739;705;740;772;809;769;0;0;0;0;0;0;12;12;13;13;11;11;19;18;18;14;0;0;0;0;0;0;69;35;30;69;23;64;100;100;100;84;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:49.401;TwistS_;2.748744;1;10;426;562;833;831;781;732;741;747;732;747;0;0;0;0;0;0;14;15;14;16;14;13;15;15;11;14;0;0;0;0;0;0;38;76;100;100;84;46;100;100;23;23;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:50.010;TwistZ_;2.754917;1;10;557;503;804;797;756;731;752;767;769;721;0;0;0;0;0;0;13;12;12;16;17;16;17;20;19;15;0;0;0;0;0;0;61;85;84;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:50.626;TwistS_;2.752579;1;10;241;234;917;876;827;780;0;0;739;730;0;0;0;0;0;0;11;13;11;16;16;21;0;0;15;18;0;0;0;0;0;0;15;21;30;76;92;42;0;0;42;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:51.234;TwistZ_;2.752579;1;10;517;461;735;763;726;732;762;778;747;721;0;0;0;0;0;0;15;11;16;21;24;22;19;21;13;14;0;0;0;0;0;0;69;42;100;100;100;100;100;69;64;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-10:31:51.835;TwistS_;2.761915;1;10;444;291;0;0;805;738;731;715;717;659;0;0;0;0;0;0;12;13;0;0;13;14;15;16;15;14;0;0;0;0;0;0;30;30;0;0;46;61;100;50;92;46;0;0;0;0;0;0;1023;0;0;1023;0;0;0
