DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-05:14:12.446;TwistZ_;6.778414;1;10;339;351;428;329;439;747;791;516;593;531;0;0;0;0;0;0;18;15;15;11;11;12;11;12;10;15;0;0;0;0;0;0;100;81;36;90;20;36;9;72;36;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:12.694;TwistS_;6.789999;1;10;346;458;336;278;791;779;763;747;723;493;0;0;0;0;0;0;12;14;11;12;18;21;20;19;14;11;0;0;0;0;0;0;81;81;27;54;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:12.942;TwistZ_;6.789999;1;10;391;499;257;795;703;602;699;603;446;263;0;0;0;0;0;0;15;12;17;16;17;13;14;13;11;13;0;0;0;0;0;0;100;72;63;90;100;70;100;100;54;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:13.192;TwistS_;6.789999;1;10;287;507;571;571;703;281;637;509;458;395;0;0;0;0;0;0;16;12;11;13;12;14;13;12;13;12;0;0;0;0;0;0;100;81;63;100;9;45;54;45;81;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:13.433;TwistZ_;6.789999;1;10;390;303;812;663;747;597;743;743;779;351;0;0;0;0;0;0;13;15;12;14;18;14;15;18;15;12;0;0;0;0;0;0;81;100;72;100;100;100;100;100;100;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:13.679;TwistS_;6.777156;1;10;313;343;364;391;779;527;329;571;536;390;0;0;0;0;0;0;13;17;13;14;15;12;13;12;13;13;0;0;0;0;0;0;72;100;90;100;100;100;72;63;45;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:13.927;TwistZ_;6.777156;1;10;488;316;637;516;420;380;0;307;408;536;0;0;0;0;0;0;15;15;11;12;13;10;0;11;12;12;0;0;0;0;0;0;81;90;36;36;63;27;0;9;90;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:14.175;TwistS_;6.777156;1;10;323;579;364;537;810;799;777;483;585;458;0;0;0;0;0;0;17;16;13;11;16;14;13;11;14;15;0;0;0;0;0;0;100;100;90;81;100;100;90;36;27;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:14.423;TwistZ_;6.777156;1;10;571;357;281;316;0;673;0;477;454;489;0;0;0;0;0;0;13;13;12;12;0;13;0;13;14;18;0;0;0;0;0;0;100;63;45;45;0;27;0;63;81;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:14.671;TwistS_;6.780995;1;10;373;319;360;424;424;599;727;491;0;626;0;0;0;0;0;0;14;17;10;14;12;14;13;12;0;15;0;0;0;0;0;0;72;100;45;54;54;100;81;100;0;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:14.911;TwistZ_;6.780995;1;10;403;435;458;259;325;320;527;315;263;421;0;0;0;0;0;0;19;15;15;13;14;14;11;15;12;13;0;0;0;0;0;0;100;90;63;90;50;63;18;100;72;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:15.167;TwistS_;6.780995;1;10;335;395;803;779;787;723;639;567;351;598;0;0;0;0;0;0;16;14;18;18;20;20;18;12;12;12;0;0;0;0;0;0;100;100;100;100;100;100;100;100;18;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:15.408;TwistZ_;6.780995;1;10;307;405;282;281;0;0;263;747;665;549;0;0;0;0;0;0;12;13;12;13;0;0;16;14;11;14;0;0;0;0;0;0;100;81;63;45;0;0;36;54;63;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:15.656;TwistS_;6.806936;1;10;312;360;276;341;571;395;390;753;406;527;0;0;0;0;0;0;14;13;13;12;12;11;12;12;13;12;0;0;0;0;0;0;90;90;63;81;27;63;72;63;72;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:15.904;TwistZ_;6.806936;1;10;509;391;466;844;795;775;763;747;575;532;0;0;0;0;0;0;12;15;11;12;16;18;21;19;15;13;0;0;0;0;0;0;45;90;72;81;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:16.152;TwistS_;6.806936;1;10;347;292;241;496;767;769;467;659;219;351;0;0;0;0;0;0;16;17;12;14;18;18;13;11;12;17;0;0;0;0;0;0;100;81;54;90;100;60;100;9;9;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:16.400;TwistZ_;6.806936;1;10;395;466;466;795;812;806;795;763;715;631;0;0;0;0;0;0;18;11;11;14;19;16;16;25;17;12;0;0;0;0;0;0;100;72;72;81;90;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:16.648;TwistS_;6.783593;1;10;580;375;435;615;782;755;527;439;340;351;0;0;0;0;0;0;13;13;15;16;16;16;13;13;17;11;0;0;0;0;0;0;90;100;100;100;100;100;90;72;36;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:14:16.896;TwistZ_;6.783593;1;10;503;341;834;802;695;711;671;723;763;695;0;0;0;0;0;0;16;13;13;13;13;18;15;15;17;15;0;0;0;0;0;0;100;81;90;72;100;100;100;100;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
