DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-15:33:21.075;TwistS_;6.804642;1;10;1019;1699;1828;1661;1744;1653;1604;1648;1615;1530;0;0;0;0;0;0;12;13;17;12;12;14;14;14;13;12;0;0;0;0;0;0;71;78;100;78;64;100;92;100;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:21.323;TwistZ_;6.807934;1;10;1453;1655;1753;1602;1674;1715;1582;1533;1515;1422;0;0;0;0;0;0;12;12;16;14;12;13;16;12;20;18;0;0;0;0;0;0;71;57;100;100;100;100;92;80;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:21.571;TwistS_;6.807934;1;10;1181;1171;1882;1816;1648;1693;1732;1585;1569;1569;0;0;0;0;0;0;16;22;18;12;14;14;20;16;16;13;0;0;0;0;0;0;85;64;100;28;100;71;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:21.819;TwistZ_;6.807934;1;10;1347;1757;1728;1717;1741;1720;1713;1621;1533;1388;0;0;0;0;0;0;16;12;12;12;18;18;15;17;14;11;0;0;0;0;0;0;50;42;80;92;100;100;85;100;85;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:22.067;TwistS_;6.807934;1;10;1445;1894;1964;1799;1753;1699;1711;1675;1623;1602;0;0;0;0;0;0;11;17;20;19;17;16;19;19;16;15;0;0;0;0;0;0;42;64;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:22.317;TwistZ_;6.813166;1;10;1092;1279;1890;1812;1753;1741;1687;1585;1598;1635;0;0;0;0;0;0;17;15;18;16;16;22;15;17;17;15;0;0;0;0;0;0;100;85;100;100;100;100;71;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:22.563;TwistS_;6.813166;1;10;1142;1386;1984;1845;1699;1682;1669;1609;1556;1442;0;0;0;0;0;0;14;16;16;15;20;19;17;17;16;14;0;0;0;0;0;0;85;85;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:22.811;TwistZ_;6.813166;1;10;1230;1486;1820;1711;1720;1678;1609;1558;1506;1435;0;0;0;0;0;0;17;13;16;17;19;17;17;19;17;15;0;0;0;0;0;0;92;57;100;100;100;100;92;100;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:23.057;TwistS_;6.813166;1;10;1045;1720;1928;1736;1736;1669;1594;1542;1523;1460;0;0;0;0;0;0;14;14;13;12;17;19;17;16;17;12;0;0;0;0;0;0;92;78;80;78;78;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:33:23.307;TwistZ_;6.789932;1;10;1188;1477;1803;1753;1679;1636;1569;1527;1578;1443;0;0;0;0;0;0;13;12;12;15;15;17;16;20;19;15;0;0;0;0;0;0;50;60;100;100;80;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
