DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-18:59:08.113;TwistS_;6.77719;1;10;1117;1397;1943;1821;1732;1645;1590;1589;1478;1356;0;0;0;0;0;0;16;14;12;12;15;18;18;16;16;13;0;0;0;0;0;0;92;92;80;85;100;92;100;100;92;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:08.362;TwistZ_;6.77719;1;10;1054;1259;1695;1640;1669;1628;1611;1574;1648;1473;0;0;0;0;0;0;15;16;15;13;13;15;19;15;15;17;0;0;0;0;0;0;100;85;100;100;85;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:08.610;TwistS_;6.782762;1;10;1247;1682;1847;1741;1640;1678;1602;1523;1477;1519;0;0;0;0;0;0;11;18;21;15;20;22;20;19;14;17;0;0;0;0;0;0;50;50;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:08.857;TwistZ_;6.782762;1;10;1027;1645;1948;1834;1745;1703;1651;1742;1690;1590;0;0;0;0;0;0;15;15;17;12;18;18;18;16;11;16;0;0;0;0;0;0;92;78;80;92;100;100;78;100;50;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:09.107;TwistS_;6.782762;1;10;948;1889;1856;1699;1665;1690;1653;1578;1535;1450;0;0;0;0;0;0;17;11;11;16;17;20;13;14;15;14;0;0;0;0;0;0;78;57;86;14;100;100;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:09.354;TwistZ_;6.782762;1;10;1416;1839;1906;1707;1648;1661;1615;1601;1519;1494;0;0;0;0;0;0;14;16;14;17;20;18;19;18;13;14;0;0;0;0;0;0;85;71;100;100;100;100;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:09.594;TwistS_;6.763436;1;10;1025;1717;1967;1820;1636;1648;1619;1645;1541;1450;0;0;0;0;0;0;12;13;13;15;18;21;17;20;13;13;0;0;0;0;0;0;85;92;85;100;100;100;100;85;71;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:09.848;TwistZ_;6.763436;1;10;1289;1158;1863;1761;1632;1619;1615;1609;1577;1527;0;0;0;0;0;0;16;16;16;13;17;17;15;20;15;18;0;0;0;0;0;0;92;64;100;100;100;100;100;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:10.094;TwistS_;6.763436;1;10;893;1365;1850;1640;1540;1531;1494;1457;1498;1339;0;0;0;0;0;0;11;16;16;10;15;16;16;18;18;18;0;0;0;0;0;0;28;92;80;28;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-18:59:10.342;TwistZ_;6.763436;1;10;1081;1505;1833;1640;1632;1604;1623;1609;1406;1435;0;0;0;0;0;0;14;13;14;15;16;13;16;16;11;12;0;0;0;0;0;0;92;71;93;100;100;57;100;100;57;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
