DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-15:58:47.864;TwistZ_;6.80854;1;10;1632;1914;1791;1746;1750;1728;1774;1744;1679;1598;0;0;0;0;0;0;13;10;16;12;13;15;16;18;12;15;0;0;0;0;0;0;50;20;85;71;100;100;100;92;60;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:48.112;TwistS_;6.80854;1;10;1180;1221;1779;1648;1816;1791;1728;1730;1724;1682;0;0;0;0;0;0;12;15;14;14;18;17;13;14;20;16;0;0;0;0;0;0;50;92;73;50;78;100;85;86;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:48.360;TwistZ_;6.80854;1;10;1272;1625;1837;1837;1718;1745;1757;1640;1699;1653;0;0;0;0;0;0;13;15;13;13;14;16;17;15;18;15;0;0;0;0;0;0;100;85;78;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:48.596;TwistS_;6.811364;1;10;1245;1511;1648;1431;1054;1213;2138;1792;1628;966;0;0;0;0;0;0;11;15;13;14;12;13;12;12;13;11;0;0;0;0;0;0;57;71;100;100;50;100;42;71;71;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:48.853;TwistZ_;6.811364;1;10;1259;761;1410;2064;1821;1827;1962;1940;1617;932;0;0;0;0;0;0;11;11;14;14;15;15;14;15;15;13;0;0;0;0;0;0;66;7;86;92;80;78;80;64;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:49.100;TwistS_;6.811364;1;10;966;1699;2067;1971;1781;1572;1969;1901;1842;1772;0;0;0;0;0;0;11;14;13;17;12;10;17;15;11;16;0;0;0;0;0;0;57;40;50;100;71;80;92;78;60;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:49.341;TwistZ_;6.811364;1;10;747;1728;1748;1523;1370;1393;1385;1435;1494;1544;0;0;0;0;0;0;12;15;15;14;12;13;13;13;12;14;0;0;0;0;0;0;57;85;85;92;92;100;100;100;57;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:49.597;TwistS_;6.818204;1;10;1259;1529;1849;1715;1753;1769;1720;1678;1699;1661;0;0;0;0;0;0;14;14;17;14;13;19;15;18;13;15;0;0;0;0;0;0;85;66;100;100;100;100;100;100;80;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:49.837;TwistZ_;6.818204;1;10;1054;1708;1689;1763;1667;1660;1657;1598;1619;1515;0;0;0;0;0;0;17;14;15;13;14;13;18;21;19;15;0;0;0;0;0;0;57;85;85;71;92;80;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:50.093;TwistS_;6.818204;1;10;1087;1523;1854;1753;1745;1699;1728;1789;1741;1648;0;0;0;0;0;0;12;14;15;17;17;19;17;22;17;15;0;0;0;0;0;0;64;57;93;100;100;100;71;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:50.333;TwistZ_;6.818204;1;10;1259;1300;1816;1645;1728;1699;1741;1675;1678;1669;0;0;0;0;0;0;16;13;14;11;12;15;17;15;19;19;0;0;0;0;0;0;85;35;86;85;85;100;100;66;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:50.581;TwistS_;6.800336;1;10;1186;1289;1948;1766;1904;1870;1784;1604;1745;1703;0;0;0;0;0;0;13;12;13;13;17;17;16;13;15;15;0;0;0;0;0;0;85;92;80;50;100;100;92;86;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:50.829;TwistZ_;6.800336;1;10;1108;1560;1734;1593;1577;1690;1749;1707;1618;1498;0;0;0;0;0;0;16;13;15;16;12;14;13;19;13;15;0;0;0;0;0;0;85;78;100;71;92;100;100;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:51.081;TwistS_;6.800336;1;10;1198;1368;1849;1694;1674;1720;1732;1714;1761;1655;0;0;0;0;0;0;15;14;15;14;14;19;23;24;15;13;0;0;0;0;0;0;78;100;93;85;100;100;100;100;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:51.322;TwistZ_;6.800336;1;10;1489;1488;1947;1875;1690;1656;1711;1640;1648;1636;0;0;0;0;0;0;17;13;12;13;17;18;16;19;18;16;0;0;0;0;0;0;50;71;86;57;92;78;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:51.577;TwistS_;6.80946;1;10;1241;1782;1845;1598;1675;1793;1803;1687;1640;1538;0;0;0;0;0;0;12;14;14;12;12;13;16;13;12;14;0;0;0;0;0;0;78;50;93;50;71;92;100;100;85;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:51.818;TwistZ_;6.80946;1;10;1203;1674;1796;1705;1586;1577;1586;1575;1550;1473;0;0;0;0;0;0;14;14;14;15;14;12;13;13;11;14;0;0;0;0;0;0;78;50;100;71;100;92;100;60;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:52.066;TwistS_;6.80946;1;10;1302;1687;1894;1699;1653;1690;1661;1675;1661;1598;0;0;0;0;0;0;15;15;19;14;16;17;14;19;19;18;0;0;0;0;0;0;64;71;100;85;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:58:52.314;TwistZ_;6.80946;1;10;966;1896;1869;1736;1640;1674;1623;1565;1561;1535;0;0;0;0;0;0;15;19;15;15;15;14;13;19;17;18;0;0;0;0;0;0;85;78;78;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
