DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-13:12:18.772;TwistZ_;6.78224;1;10;580;407;351;303;539;541;315;536;388;722;0;0;0;0;0;0;11;15;11;15;11;12;13;12;14;15;0;0;0;0;0;0;90;100;45;100;63;54;100;45;54;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:19.019;TwistS_;6.78224;1;10;447;335;565;379;806;795;711;735;747;681;0;0;0;0;0;0;14;17;12;13;13;13;16;16;12;12;0;0;0;0;0;0;100;100;63;100;100;100;100;100;54;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:19.267;TwistZ_;6.778889;1;10;479;294;299;298;263;307;269;224;405;640;0;0;0;0;0;0;12;13;14;16;15;12;11;14;14;11;0;0;0;0;0;0;90;90;100;90;100;90;72;90;81;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:19.515;TwistS_;6.778889;1;10;423;232;399;386;331;333;759;703;584;747;0;0;0;0;0;0;14;14;13;12;12;14;25;18;15;13;0;0;0;0;0;0;100;63;90;90;100;100;100;100;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:19.763;TwistZ_;6.778889;1;10;465;258;295;251;710;802;541;487;804;424;0;0;0;0;0;0;16;15;15;20;12;11;12;13;13;12;0;0;0;0;0;0;90;72;100;100;54;40;54;90;90;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:20.011;TwistS_;6.778889;1;10;507;297;483;229;329;814;686;767;518;552;0;0;0;0;0;0;15;14;11;22;16;14;13;20;15;13;0;0;0;0;0;0;100;81;100;81;54;100;72;100;90;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:20.259;TwistZ_;6.769594;1;10;359;322;367;276;693;580;771;759;659;505;0;0;0;0;0;0;14;16;15;16;12;13;14;16;15;13;0;0;0;0;0;0;100;81;100;90;81;45;100;100;81;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:20.508;TwistS_;6.769594;1;10;439;351;445;371;341;861;803;535;584;627;0;0;0;0;0;0;16;13;10;12;12;11;13;12;13;15;0;0;0;0;0;0;81;72;63;81;90;45;100;100;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:20.747;TwistZ_;6.769594;1;10;387;477;399;297;307;620;771;775;735;527;0;0;0;0;0;0;13;11;13;17;11;13;16;20;16;15;0;0;0;0;0;0;100;72;90;81;27;81;81;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:20.996;TwistS_;6.769594;1;10;433;344;359;316;466;716;703;659;719;743;0;0;0;0;0;0;12;12;11;13;11;14;13;12;12;14;0;0;0;0;0;0;72;54;100;90;72;100;72;100;72;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:21.244;TwistZ_;6.770244;1;10;495;549;383;251;427;243;591;338;615;406;0;0;0;0;0;0;11;12;14;14;12;16;13;15;10;11;0;0;0;0;0;0;100;54;100;100;100;100;100;90;27;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:21.492;TwistS_;6.770244;1;10;387;285;335;322;375;274;343;295;551;779;0;0;0;0;0;0;14;12;13;15;12;12;12;15;17;19;0;0;0;0;0;0;100;36;100;81;81;80;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:21.740;TwistZ_;6.770244;1;10;562;291;551;335;351;534;667;475;541;640;0;0;0;0;0;0;13;15;12;17;13;11;14;13;13;11;0;0;0;0;0;0;90;100;100;100;72;60;100;100;81;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:21.988;TwistS_;6.770244;1;10;518;465;681;339;477;585;519;810;771;716;0;0;0;0;0;0;14;11;12;12;11;12;15;15;13;11;0;0;0;0;0;0;90;45;54;100;72;54;100;100;81;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:22.237;TwistZ_;6.777436;1;10;479;259;359;258;645;806;755;725;571;283;0;0;0;0;0;0;13;14;14;14;18;16;13;14;14;11;0;0;0;0;0;0;90;90;100;81;90;100;100;90;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:22.477;TwistS_;6.777436;1;10;307;536;336;235;285;518;779;575;555;671;0;0;0;0;0;0;14;12;16;17;12;13;16;15;11;17;0;0;0;0;0;0;72;45;54;100;90;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:22.725;TwistZ_;6.777436;1;10;417;335;465;395;246;367;391;549;263;263;0;0;0;0;0;0;13;16;11;12;18;13;14;11;13;14;0;0;0;0;0;0;90;100;90;100;100;100;90;90;100;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:22.974;TwistS_;6.777436;1;10;387;433;311;271;404;663;779;739;464;492;0;0;0;0;0;0;16;13;20;16;16;12;18;14;10;11;0;0;0;0;0;0;100;63;100;100;90;90;100;100;63;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:12:23.221;TwistZ_;6.776478;1;10;346;267;447;283;439;470;375;499;628;763;0;0;0;0;0;0;15;19;15;17;10;12;14;10;13;17;0;0;0;0;0;0;81;100;100;100;20;63;100;72;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
