DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-05:06:20.442;TwistZ_;6.81708;1;10;0;316;338;362;373;852;834;823;0;791;0;0;0;0;0;0;0;14;11;10;10;14;17;12;0;11;0;0;0;0;0;0;0;100;100;40;20;83;100;40;0;40;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:20.690;TwistS_;6.795058;1;10;0;307;336;351;0;0;730;729;714;667;0;0;0;0;0;0;0;15;12;10;0;0;13;12;10;11;0;0;0;0;0;0;0;100;50;40;0;0;80;83;40;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:20.938;TwistZ_;6.795058;1;10;0;318;241;0;0;395;769;760;791;0;0;0;0;0;0;0;0;11;11;0;0;11;13;13;11;0;0;0;0;0;0;0;0;80;40;0;0;16;100;100;20;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:21.187;TwistS_;6.795058;1;10;659;307;0;340;0;812;798;761;769;769;0;0;0;0;0;0;11;11;0;12;0;10;11;13;12;12;0;0;0;0;0;0;40;60;0;80;0;20;60;100;100;20;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:21.499;TwistZ_;6.795058;1;10;417;241;812;241;791;769;761;742;263;0;0;0;0;0;0;0;13;20;10;10;11;11;11;11;10;0;0;0;0;0;0;0;60;100;20;20;60;33;60;100;20;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:21.683;TwistS_;6.808953;1;10;241;329;585;710;454;725;659;632;402;673;0;0;0;0;0;0;14;13;11;12;11;20;16;11;13;18;0;0;0;0;0;0;100;100;100;100;100;100;83;83;100;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:21.931;TwistZ_;6.808953;1;10;290;279;275;595;629;585;494;667;723;663;0;0;0;0;0;0;17;13;15;14;10;13;11;16;16;18;0;0;0;0;0;0;90;100;100;100;54;54;72;90;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:22.179;TwistS_;6.808953;1;10;467;369;505;263;648;738;723;774;736;634;0;0;0;0;0;0;17;13;11;13;11;15;16;15;18;14;0;0;0;0;0;0;100;90;90;63;80;90;100;72;72;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:22.428;TwistZ_;6.808953;1;10;399;419;255;271;710;707;787;699;719;602;0;0;0;0;0;0;17;15;15;15;14;16;13;14;22;13;0;0;0;0;0;0;100;100;100;100;60;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:22.675;TwistS_;6.798491;1;10;259;292;488;258;307;637;629;719;735;663;0;0;0;0;0;0;17;17;12;14;14;12;11;20;16;17;0;0;0;0;0;0;90;81;81;81;100;54;27;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:22.923;TwistZ_;6.798491;1;10;473;455;395;522;743;679;668;723;415;463;0;0;0;0;0;0;17;12;11;13;15;13;13;12;12;11;0;0;0;0;0;0;81;72;72;81;100;100;81;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:23.164;TwistS_;6.798491;1;10;391;351;291;271;439;799;767;743;729;602;0;0;0;0;0;0;15;12;21;14;13;18;15;17;13;12;0;0;0;0;0;0;100;81;100;100;100;100;100;100;90;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:23.412;TwistZ_;6.798491;1;10;299;351;285;647;391;588;483;458;735;619;0;0;0;0;0;0;18;15;13;14;12;11;12;11;13;13;0;0;0;0;0;0;100;100;90;100;90;45;81;81;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:23.668;TwistS_;6.793088;1;10;435;375;391;681;755;743;723;739;663;675;0;0;0;0;0;0;13;13;11;14;15;18;18;14;12;14;0;0;0;0;0;0;90;81;100;90;100;100;100;54;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:23.908;TwistZ_;6.793088;1;10;268;403;399;565;703;742;739;465;738;503;0;0;0;0;0;0;19;15;12;12;12;13;17;11;15;14;0;0;0;0;0;0;81;100;100;72;81;100;100;90;90;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:24.156;TwistS_;6.793088;1;10;419;279;247;272;725;587;727;672;747;672;0;0;0;0;0;0;16;14;15;13;11;16;18;13;16;14;0;0;0;0;0;0;100;100;72;90;36;100;100;90;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:24.404;TwistZ_;6.793088;1;10;421;285;283;342;711;791;799;791;520;477;0;0;0;0;0;0;16;15;16;17;18;16;21;22;15;11;0;0;0;0;0;0;90;90;100;90;100;100;100;100;54;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:24.652;TwistS_;6.78444;1;10;291;307;428;483;296;651;607;711;731;639;0;0;0;0;0;0;16;16;12;11;12;11;13;14;16;16;0;0;0;0;0;0;100;90;72;45;72;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-05:06:24.901;TwistZ_;6.78444;1;10;478;272;450;432;731;743;428;751;719;694;0;0;0;0;0;0;16;17;12;12;14;13;12;16;16;15;0;0;0;0;0;0;81;90;72;54;100;100;72;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
