DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-14:49:57.106;TwistS_;6.370684;1;10;1221;1516;1937;1769;1694;1647;1562;1596;1494;1289;0;0;0;0;0;0;12;16;16;18;14;11;15;16;11;13;0;0;0;0;0;0;90;36;100;100;81;90;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:57.378;TwistZ_;6.404704;1;10;0;1259;1572;1542;0;1613;1602;1636;1677;0;0;0;0;0;0;0;0;11;12;13;0;12;17;20;16;0;0;0;0;0;0;0;0;54;75;81;0;63;100;100;100;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:57.635;TwistS_;6.404704;1;10;1296;1766;1841;1709;1697;1530;1566;1530;1550;0;0;0;0;0;0;0;11;14;13;17;16;21;17;15;14;0;0;0;0;0;0;0;54;45;83;100;100;100;100;100;100;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:57.898;TwistZ_;6.404704;1;10;1148;1267;1889;1713;1685;1566;1621;1647;1550;1437;0;0;0;0;0;0;12;12;13;11;13;17;21;16;14;11;0;0;0;0;0;0;63;54;50;9;100;100;100;100;63;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:58.162;TwistS_;6.404704;1;10;1193;1109;1613;1520;1601;1546;1406;1469;1582;1230;0;0;0;0;0;0;15;15;14;13;11;11;11;11;10;10;0;0;0;0;0;0;54;72;91;90;81;100;18;75;27;18;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:58.429;TwistZ_;6.384496;1;10;0;1777;1458;1485;1546;1494;1494;1435;0;1362;0;0;0;0;0;0;0;13;11;11;14;13;12;10;0;12;0;0;0;0;0;0;0;75;45;45;100;100;81;27;0;9;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:58.691;TwistS_;6.384496;1;10;1103;1655;1728;1602;1554;1590;1538;1462;1434;1353;0;0;0;0;0;0;13;14;16;16;14;11;12;13;14;11;0;0;0;0;0;0;90;54;100;100;72;100;100;91;100;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:58.955;TwistZ_;6.384496;1;10;1230;1691;1713;1699;1554;1547;1526;1541;1502;1289;0;0;0;0;0;0;12;17;18;12;19;15;16;16;12;13;0;0;0;0;0;0;27;54;50;54;100;81;100;100;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:59.211;TwistS_;6.384496;1;10;1279;1362;1739;1565;1599;1594;1520;1472;1428;1362;0;0;0;0;0;0;14;11;13;11;14;14;13;15;10;10;0;0;0;0;0;0;81;63;100;72;90;100;90;83;36;9;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:59.483;TwistZ_;6.34828;1;10;1371;1678;1608;1613;1658;1567;1625;1639;1558;1462;0;0;0;0;0;0;11;11;11;13;11;13;12;17;16;14;0;0;0;0;0;0;45;45;83;63;36;81;27;83;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:49:59.739;TwistS_;6.34828;1;10;1035;0;1748;1677;1633;1555;1566;1499;1435;0;0;0;0;0;0;0;11;0;12;12;14;13;12;17;13;0;0;0;0;0;0;0;63;0;75;100;100;90;100;75;81;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:50:00.003;TwistZ_;6.34828;1;10;1105;1779;1707;1582;1625;1625;1602;1577;1514;1285;0;0;0;0;0;0;10;14;13;11;18;19;21;14;17;17;0;0;0;0;0;0;54;36;58;72;45;100;100;75;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:50:00.267;TwistS_;6.34828;1;10;673;1265;1684;1700;1618;1533;1546;1476;1374;1414;0;0;0;0;0;0;14;11;14;12;12;14;13;13;14;16;0;0;0;0;0;0;54;41;81;90;54;83;100;45;91;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:50:00.532;TwistZ_;6.364896;1;10;1003;1625;1709;0;1616;1542;1516;1530;1506;1713;0;0;0;0;0;0;13;11;12;0;14;14;10;16;17;10;0;0;0;0;0;0;54;36;83;0;81;81;36;100;63;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:50:00.795;TwistS_;6.364896;1;10;878;1148;1779;1688;1601;1606;1599;1567;1602;1567;0;0;0;0;0;0;11;12;16;17;13;18;14;18;17;15;0;0;0;0;0;0;45;63;50;63;81;100;90;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-14:50:01.060;TwistZ_;6.364896;1;10;1230;1772;1757;1779;1695;1582;1613;1549;1494;0;0;0;0;0;0;0;10;10;13;10;11;13;11;14;11;0;0;0;0;0;0;0;9;27;66;54;63;45;100;66;54;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
