DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-10:09:15.223;TwistZ_;6.801996;1;10;1091;1699;1928;1820;1699;1632;1548;1519;1582;1476;0;0;0;0;0;0;16;19;19;16;22;23;17;17;18;14;0;0;0;0;0;0;78;64;73;92;100;100;100;100;100;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:15.471;TwistS_;6.801996;1;10;1054;1595;1918;1824;1678;1640;1619;1644;1632;1569;0;0;0;0;0;0;15;15;15;15;24;25;22;18;20;12;0;0;0;0;0;0;64;92;53;100;100;100;100;100;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:15.711;TwistZ_;6.801996;1;10;1122;1509;1800;1684;1591;1552;1561;1519;1535;1435;0;0;0;0;0;0;14;16;16;15;14;16;17;18;15;22;0;0;0;0;0;0;92;92;100;85;92;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:15.959;TwistS_;6.772204;1;10;1230;1275;1649;1677;1757;1621;1515;1566;1549;1533;0;0;0;0;0;0;14;14;13;11;12;11;13;19;13;13;0;0;0;0;0;0;71;92;86;57;78;85;100;100;64;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:16.207;TwistZ_;6.772204;1;10;1166;1784;1843;1850;1720;1686;1682;1548;1599;1541;0;0;0;0;0;0;13;18;14;18;22;22;21;14;15;13;0;0;0;0;0;0;85;78;86;85;100;100;100;93;71;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:16.455;TwistS_;6.772204;1;10;1098;1208;1750;1769;1728;1695;1611;1667;1582;1523;0;0;0;0;0;0;13;13;14;12;12;14;12;20;17;15;0;0;0;0;0;0;57;57;100;35;85;100;85;100;85;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:16.703;TwistZ_;6.772204;1;10;1188;1645;1960;1879;1757;1665;1648;1601;1619;1437;0;0;0;0;0;0;14;18;15;21;18;25;22;22;22;16;0;0;0;0;0;0;100;78;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:16.952;TwistS_;6.780277;1;10;1607;1949;1964;1828;1669;1622;1636;1590;1632;1411;0;0;0;0;0;0;17;15;14;18;23;15;15;15;14;14;0;0;0;0;0;0;50;78;100;100;100;92;100;93;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:17.200;TwistZ_;6.780277;1;10;924;1510;1875;1766;1669;1597;1552;1535;1550;1558;0;0;0;0;0;0;11;17;19;18;19;23;21;17;12;12;0;0;0;0;0;0;64;60;100;100;100;100;100;100;86;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:17.448;TwistS_;6.780277;1;10;1125;1423;1841;1686;1640;1617;1559;1561;1513;1473;0;0;0;0;0;0;14;14;15;15;15;16;14;15;13;13;0;0;0;0;0;0;100;71;100;100;100;100;92;100;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:17.696;TwistZ_;6.780277;1;10;1142;1330;1885;1791;1699;1657;1577;1644;1682;1485;0;0;0;0;0;0;16;16;13;12;18;13;13;15;17;15;0;0;0;0;0;0;85;100;73;50;100;100;100;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:17.936;TwistS_;6.780446;1;10;1154;1146;1767;1787;1746;1655;1615;1615;1550;1480;0;0;0;0;0;0;14;11;11;11;13;15;17;14;14;13;0;0;0;0;0;0;71;46;85;14;100;85;100;100;86;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:18.192;TwistZ_;6.780446;1;10;870;1843;1902;1761;1602;1615;1540;1605;1565;1435;0;0;0;0;0;0;16;20;18;20;19;21;19;23;20;16;0;0;0;0;0;0;50;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:18.432;TwistS_;6.780446;1;10;895;1443;1777;1682;1594;1519;1527;1527;1552;1388;0;0;0;0;0;0;13;20;23;21;20;23;21;19;15;14;0;0;0;0;0;0;100;100;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:18.680;TwistZ_;6.780446;1;10;937;1690;1917;1828;1619;1615;1598;1582;1552;1324;0;0;0;0;0;0;12;18;18;17;18;19;23;18;15;12;0;0;0;0;0;0;57;92;100;100;100;100;100;100;85;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:18.929;TwistS_;6.774578;1;10;1205;1445;1824;1732;1736;1715;1678;1546;1515;1498;0;0;0;0;0;0;15;17;17;20;17;14;15;14;17;13;0;0;0;0;0;0;100;64;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:19.177;TwistZ_;6.774578;1;10;1209;1445;1792;1757;1674;1607;1607;1511;1464;1570;0;0;0;0;0;0;13;18;19;18;19;18;19;17;11;11;0;0;0;0;0;0;78;85;100;100;100;100;100;100;14;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:19.427;TwistS_;6.774578;1;10;1343;826;1777;1787;1718;1752;1653;1648;1663;1632;0;0;0;0;0;0;16;13;11;13;13;14;16;11;14;13;0;0;0;0;0;0;92;64;100;100;85;85;100;93;92;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:09:19.673;TwistZ_;6.774578;1;10;1395;1528;1586;1093;1494;1470;1333;1440;1473;1410;0;0;0;0;0;0;12;12;12;10;12;12;15;11;13;14;0;0;0;0;0;0;78;78;80;42;28;78;57;80;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
