DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-07:22:38.520;TwistS_;2.742687;1;10;263;443;711;708;681;670;657;664;662;665;0;0;0;0;0;0;14;14;16;15;17;17;15;17;18;13;0;0;0;0;0;0;15;42;100;61;100;100;100;100;100;76;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:39.137;TwistZ_;2.736966;1;10;602;632;708;712;692;645;643;660;707;660;0;0;0;0;0;0;11;14;17;15;19;13;13;16;21;13;0;0;0;0;0;0;38;35;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:39.746;TwistS_;2.736966;1;10;421;505;806;775;688;634;615;649;632;620;0;0;0;0;0;0;13;12;11;13;12;14;17;18;18;18;0;0;0;0;0;0;46;42;53;76;100;61;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:40.353;TwistZ_;2.738569;1;10;468;335;670;0;675;654;618;655;721;676;0;0;0;0;0;0;13;11;10;0;13;17;15;16;16;17;0;0;0;0;0;0;76;50;30;0;57;100;92;100;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:40.963;TwistS_;2.738569;1;10;450;664;666;728;698;667;662;686;688;694;0;0;0;0;0;0;12;10;18;17;14;19;17;22;16;14;0;0;0;0;0;0;30;57;69;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:41.573;TwistZ_;2.747962;1;10;446;583;733;725;670;654;649;664;681;643;0;0;0;0;0;0;15;19;18;17;12;15;15;17;14;13;0;0;0;0;0;0;92;78;100;53;92;100;100;100;71;84;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:42.186;TwistS_;2.734313;1;10;467;587;758;747;703;661;640;638;663;622;0;0;0;0;0;0;12;12;17;13;16;12;13;16;15;13;0;0;0;0;0;0;53;78;100;100;100;71;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:42.802;TwistZ_;2.734313;1;10;424;342;681;685;703;653;691;705;716;699;0;0;0;0;0;0;10;11;18;18;14;10;17;14;11;14;0;0;0;0;0;0;23;50;100;35;38;30;78;69;35;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:43.410;TwistS_;2.739803;1;10;424;285;769;699;643;628;625;648;691;677;0;0;0;0;0;0;14;12;14;15;15;17;19;22;21;17;0;0;0;0;0;0;46;15;100;100;76;100;100;100;100;84;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:22:44.019;TwistZ_;2.739803;1;10;578;573;714;741;701;671;667;701;717;711;0;0;0;0;0;0;12;13;11;12;12;16;12;17;18;13;0;0;0;0;0;0;69;64;61;100;92;100;61;100;100;61;0;0;0;0;0;0;1023;0;0;1023;0;0;0
