DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-08:29:12.803;TwistZ_;6.77899;1;10;1090;1489;1949;1841;1653;1582;1590;1523;1566;1498;0;0;0;0;0;0;14;15;16;15;20;20;19;15;16;13;0;0;0;0;0;0;92;100;100;100;100;100;100;100;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:13.051;TwistS_;6.77899;1;10;1176;1555;1824;1753;1707;1648;1622;1623;1611;1420;0;0;0;0;0;0;13;14;14;15;14;19;14;12;13;17;0;0;0;0;0;0;92;64;100;100;100;100;92;93;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:13.299;TwistZ_;6.77899;1;10;1396;846;1791;1500;1741;1707;1665;1648;1681;1527;0;0;0;0;0;0;16;13;12;11;16;20;18;19;15;18;0;0;0;0;0;0;85;64;80;92;100;100;100;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:13.539;TwistS_;6.77899;1;10;1025;1328;1917;1775;1794;1720;1678;1645;1614;1588;0;0;0;0;0;0;15;15;15;12;14;18;20;14;12;12;0;0;0;0;0;0;71;64;100;92;57;100;100;73;64;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:13.788;TwistZ_;6.788948;1;10;1198;1001;1843;2000;1718;1744;1669;1605;1594;1552;0;0;0;0;0;0;15;14;14;15;12;19;17;15;15;13;0;0;0;0;0;0;92;78;100;100;64;92;85;66;100;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:14.036;TwistS_;6.788948;1;10;776;1076;1744;1669;1741;1774;1703;1669;1665;1598;0;0;0;0;0;0;15;12;12;14;12;14;14;13;16;18;0;0;0;0;0;0;57;57;86;100;100;100;100;80;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:14.284;TwistZ_;6.788948;1;10;867;1453;1744;1605;1608;1523;1571;1468;1443;1442;0;0;0;0;0;0;12;11;12;10;13;12;11;12;12;13;0;0;0;0;0;0;35;35;60;35;64;100;78;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:14.532;TwistS_;6.788948;1;10;1117;1328;1757;1655;1657;1605;1569;1527;1507;1475;0;0;0;0;0;0;14;14;12;12;16;15;16;15;16;16;0;0;0;0;0;0;92;80;85;57;100;100;100;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:14.780;TwistZ_;6.795126;1;10;1041;1655;1841;1745;1665;1566;1540;1541;1577;1386;0;0;0;0;0;0;11;19;23;17;22;20;16;16;14;13;0;0;0;0;0;0;64;85;100;100;100;100;100;71;85;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:15.028;TwistS_;6.795126;1;10;1188;1445;1793;1654;1549;1616;1523;1578;1523;1369;0;0;0;0;0;0;16;12;14;11;12;13;14;14;10;11;0;0;0;0;0;0;100;42;86;92;64;85;100;100;14;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:15.276;TwistZ_;6.795126;1;10;1464;1459;1684;1722;1691;1678;1644;1640;1601;1397;0;0;0;0;0;0;13;13;12;15;16;19;18;19;16;14;0;0;0;0;0;0;78;80;57;71;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:15.525;TwistS_;6.795126;1;10;1591;1527;1718;1640;1545;1568;1567;1595;1689;1448;0;0;0;0;0;0;14;12;12;10;14;13;13;13;19;10;0;0;0;0;0;0;42;92;60;28;92;92;85;60;85;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:15.764;TwistZ_;6.784576;1;10;1171;1706;1708;1564;1494;1600;1547;1498;1477;1354;0;0;0;0;0;0;12;16;14;14;11;14;11;13;10;14;0;0;0;0;0;0;92;57;86;71;57;92;85;46;64;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:16.021;TwistS_;6.784576;1;10;1066;1608;1863;1779;1734;1594;1613;1573;1629;1523;0;0;0;0;0;0;11;13;12;12;14;14;12;14;18;21;0;0;0;0;0;0;35;78;33;78;71;100;92;93;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-08:29:16.260;TwistZ_;6.784576;1;10;1044;1508;1766;1631;1601;1690;1607;1582;1552;1259;0;0;0;0;0;0;14;11;15;16;10;12;13;12;13;10;0;0;0;0;0;0;78;28;100;92;21;86;50;57;85;28;0;0;0;0;0;0;1023;0;0;1023;0;0;0
