DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-07:44:46.234;TwistZ_;6.367026;1;10;1252;1527;1772;1713;1554;1542;1526;1538;1538;1483;0;0;0;0;0;0;10;13;14;11;15;18;18;18;19;15;0;0;0;0;0;0;54;36;50;36;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:46.498;TwistS_;6.383317;1;10;1111;1010;1860;1678;1613;1502;1488;1446;1490;1396;0;0;0;0;0;0;17;16;18;16;20;16;13;15;14;12;0;0;0;0;0;0;63;54;100;90;100;90;72;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:46.762;TwistZ_;6.383317;1;10;1376;1164;1821;1737;1578;1530;1570;1562;1508;1456;0;0;0;0;0;0;15;14;15;15;22;22;18;21;22;16;0;0;0;0;0;0;81;50;100;100;100;100;100;100;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:47.026;TwistS_;6.383317;1;10;1098;0;1669;1506;1560;1526;1507;1463;1462;1340;0;0;0;0;0;0;12;0;12;11;12;13;12;17;16;14;0;0;0;0;0;0;72;0;66;63;54;100;90;83;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:47.290;TwistZ_;6.383317;1;10;1129;1196;1741;1665;1590;1546;1554;1511;1560;1373;0;0;0;0;0;0;13;15;15;13;14;18;18;13;14;13;0;0;0;0;0;0;90;81;66;100;100;100;100;83;90;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:47.555;TwistS_;6.377314;1;10;1186;1265;1794;1649;1462;1426;1406;1402;1422;1418;0;0;0;0;0;0;12;15;17;14;18;14;14;18;16;11;0;0;0;0;0;0;63;45;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:47.813;TwistZ_;6.377314;1;10;1298;1079;1737;1619;1589;1582;1538;1494;1489;1354;0;0;0;0;0;0;15;11;12;12;12;16;12;13;15;12;0;0;0;0;0;0;81;63;91;63;54;54;72;83;90;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:48.075;TwistS_;6.377314;1;10;1064;1248;1946;1744;1611;1530;1444;1459;1501;1414;0;0;0;0;0;0;11;13;16;13;18;20;10;13;14;14;0;0;0;0;0;0;81;83;90;90;100;100;72;81;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:48.340;TwistZ_;6.377314;1;10;954;1476;1757;0;1607;1538;1520;1406;1487;1425;0;0;0;0;0;0;13;15;15;0;12;14;11;12;12;15;0;0;0;0;0;0;63;45;91;0;63;100;45;83;63;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:48.604;TwistS_;6.370494;1;10;1079;1779;1900;1757;1480;1490;1435;1479;1439;1350;0;0;0;0;0;0;13;15;17;13;16;13;11;12;12;14;0;0;0;0;0;0;63;36;100;72;90;100;81;100;72;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:48.863;TwistZ_;6.370494;1;10;1343;1728;1702;1606;1450;1549;1542;1494;1529;1413;0;0;0;0;0;0;14;17;19;19;15;11;12;12;13;10;0;0;0;0;0;0;63;54;100;100;81;36;100;100;90;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:49.135;TwistS_;6.370494;1;10;1296;1048;1766;1669;1498;1417;1411;1379;1393;1401;0;0;0;0;0;0;12;10;11;17;18;15;14;15;14;14;0;0;0;0;0;0;54;63;83;90;100;72;81;41;90;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:49.400;TwistZ_;6.370494;1;10;1142;1353;1857;1789;1653;1545;1550;1570;1526;1374;0;0;0;0;0;0;11;12;13;11;17;22;20;21;14;14;0;0;0;0;0;0;63;41;100;100;100;100;100;100;91;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:49.656;TwistS_;6.362634;1;10;0;1779;1765;1645;1598;1498;1490;1479;1461;1398;0;0;0;0;0;0;0;11;19;15;16;20;23;19;14;14;0;0;0;0;0;0;0;18;100;100;100;100;100;100;72;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:49.920;TwistZ_;6.362634;1;10;935;1384;1696;1649;1526;1466;1508;1428;1462;1306;0;0;0;0;0;0;13;10;15;16;14;12;14;13;19;13;0;0;0;0;0;0;63;36;83;100;100;100;81;83;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:50.184;TwistS_;6.362634;1;10;1059;1357;1757;1729;1554;1482;1450;1442;1414;1406;0;0;0;0;0;0;15;16;16;13;18;20;12;14;16;12;0;0;0;0;0;0;90;81;100;100;100;100;90;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:50.448;TwistZ_;6.362634;1;10;1181;1556;1567;1462;1501;1538;1538;1531;1523;1420;0;0;0;0;0;0;11;14;14;11;14;16;11;14;14;11;0;0;0;0;0;0;81;58;54;63;100;100;63;63;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:50.712;TwistS_;6.350694;1;10;889;1669;1705;1606;1546;1494;1480;1414;1422;1306;0;0;0;0;0;0;11;13;15;12;15;14;11;15;15;14;0;0;0;0;0;0;36;36;91;81;100;100;90;91;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:44:50.976;TwistZ_;6.350694;1;10;791;1608;1717;1578;1510;1446;1454;1494;1542;1420;0;0;0;0;0;0;11;15;19;14;21;16;17;19;16;11;0;0;0;0;0;0;36;45;100;100;100;100;100;100;100;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
