DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-11:19:27.948;TwistS_;6.343804;1;10;0;1864;1953;1777;1571;1518;1494;1442;1461;1523;0;0;0;0;0;0;0;17;12;17;23;23;21;15;16;12;0;0;0;0;0;0;0;58;100;100;100;100;100;100;100;81;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:28.204;TwistZ_;6.343804;1;10;1065;1625;1834;1669;1546;1462;1482;1494;1490;1511;0;0;0;0;0;0;11;19;18;21;17;17;21;17;18;15;0;0;0;0;0;0;72;63;100;100;100;100;100;100;100;90;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:28.468;TwistS_;6.343804;1;10;0;1652;1765;1613;1556;1582;0;1498;1494;1390;0;0;0;0;0;0;0;13;13;15;11;13;0;11;13;17;0;0;0;0;0;0;0;45;100;100;58;45;0;100;90;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:28.732;TwistZ_;6.343804;1;10;1318;1713;1683;1599;1557;1590;1552;1362;1384;1248;0;0;0;0;0;0;11;10;13;14;13;11;12;11;14;13;0;0;0;0;0;0;27;27;83;90;81;100;54;16;72;45;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:28.997;TwistS_;6.378207;1;10;0;1142;1849;1737;1530;1512;1486;1490;1538;1560;0;0;0;0;0;0;0;14;17;14;24;23;21;18;20;16;0;0;0;0;0;0;0;66;100;100;100;100;100;100;100;72;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:29.260;TwistZ_;6.378207;1;10;728;1439;1757;1582;1574;1590;0;1406;1437;1458;0;0;0;0;0;0;13;11;10;12;13;15;0;17;16;13;0;0;0;0;0;0;63;72;16;36;100;100;0;25;90;45;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:29.525;TwistS_;6.378207;1;10;892;1458;1834;1641;1530;1494;1470;1457;1450;1431;0;0;0;0;0;0;15;18;17;18;23;25;21;17;15;13;0;0;0;0;0;0;90;90;100;100;100;100;100;100;100;63;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:29.789;TwistZ_;6.378207;1;10;1149;1318;1701;1590;1582;1607;1557;1489;1486;1347;0;0;0;0;0;0;11;14;12;12;12;12;13;12;13;12;0;0;0;0;0;0;54;81;91;45;100;63;81;83;100;54;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:30.046;TwistS_;6.401854;1;10;1109;1114;1867;1653;1486;1494;1450;1453;1514;1528;0;0;0;0;0;0;11;17;12;18;24;24;20;17;17;17;0;0;0;0;0;0;36;100;83;100;100;100;100;100;100;81;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-11:19:30.309;TwistZ_;6.401854;1;10;1406;1376;1644;1586;1578;1582;1538;1542;1530;1500;0;0;0;0;0;0;13;11;14;14;15;14;11;13;14;12;0;0;0;0;0;0;45;54;100;100;100;100;81;91;100;63;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
