DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-16:50:33.428;TwistZ_;6.777402;1;10;1442;1505;1949;1795;1751;1707;1674;1621;1653;1577;0;0;0;0;0;0;15;14;17;14;14;13;15;14;14;18;0;0;0;0;0;0;92;71;100;100;64;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:33.682;TwistS_;6.777402;1;10;1134;1496;1859;1745;1707;1699;1640;1625;1594;1531;0;0;0;0;0;0;16;17;16;14;16;19;16;15;18;17;0;0;0;0;0;0;100;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:33.926;TwistZ_;6.777402;1;10;1505;1416;1998;2002;1796;1773;1707;1695;1695;1602;0;0;0;0;0;0;15;12;14;11;12;15;15;18;19;14;0;0;0;0;0;0;92;78;60;78;85;78;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:34.166;TwistS_;6.779262;1;10;1363;1582;1845;1770;1686;1682;1674;1657;1627;1509;0;0;0;0;0;0;13;12;15;16;12;17;15;15;14;15;0;0;0;0;0;0;78;35;100;100;93;100;100;100;92;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:34.415;TwistZ_;6.779262;1;10;1318;1679;1921;1854;1741;1722;1686;1665;1607;1570;0;0;0;0;0;0;14;11;14;15;14;13;16;18;15;12;0;0;0;0;0;0;85;80;100;100;100;100;100;100;93;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:34.663;TwistS_;6.779262;1;10;1262;1923;2096;1875;1777;1717;1665;1672;1632;1510;0;0;0;0;0;0;14;14;14;11;19;15;14;15;15;14;0;0;0;0;0;0;78;42;100;64;100;92;85;92;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:34.911;TwistZ_;6.779262;1;10;1417;1455;2075;1945;1791;1714;1745;1715;1764;1476;0;0;0;0;0;0;12;15;16;12;16;17;17;15;12;10;0;0;0;0;0;0;71;86;85;71;100;100;100;100;60;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:35.167;TwistS_;6.785897;1;10;1265;2005;2063;1766;1720;1703;1601;1554;1499;1494;0;0;0;0;0;0;11;15;13;16;19;17;14;16;13;13;0;0;0;0;0;0;35;64;60;92;100;100;64;100;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:35.407;TwistZ_;6.785897;1;10;1254;1397;1850;1761;1695;1640;1541;1678;1699;1607;0;0;0;0;0;0;15;11;13;14;13;11;12;14;22;15;0;0;0;0;0;0;85;50;80;100;100;78;92;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:35.656;TwistS_;6.785897;1;10;1326;1181;1799;1690;1712;1735;1741;1690;1669;1544;0;0;0;0;0;0;17;13;14;16;12;13;16;17;15;18;0;0;0;0;0;0;78;42;100;100;92;86;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:35.905;TwistZ_;6.785897;1;10;1557;1213;1997;1875;1715;1674;1672;1645;1609;1640;0;0;0;0;0;0;14;14;13;14;15;16;19;15;13;12;0;0;0;0;0;0;85;100;80;100;100;100;92;86;92;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:36.152;TwistS_;6.779058;1;10;1333;1048;1840;1775;1770;1787;1703;1671;1619;1542;0;0;0;0;0;0;17;14;12;12;14;15;19;17;17;16;0;0;0;0;0;0;85;64;80;92;100;57;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:36.400;TwistZ_;6.779058;1;10;1142;1438;1781;1678;1741;1770;1770;1761;1623;1201;0;0;0;0;0;0;12;13;16;12;14;15;17;15;13;11;0;0;0;0;0;0;57;78;100;100;100;100;100;93;100;42;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:36.640;TwistS_;6.779058;1;10;1264;1384;1785;1823;1879;1824;1732;1683;1686;1406;0;0;0;0;0;0;13;13;15;12;18;18;17;14;19;12;0;0;0;0;0;0;85;57;100;57;100;100;100;100;100;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:36.896;TwistZ_;6.779058;1;10;1148;1977;1894;1828;1657;1676;1644;1632;1634;1577;0;0;0;0;0;0;11;11;12;11;15;13;14;15;17;16;0;0;0;0;0;0;35;28;100;71;100;92;100;93;64;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:37.136;TwistS_;6.779228;1;10;1015;1362;1871;1745;1648;1636;1602;1578;1569;1494;0;0;0;0;0;0;14;16;18;18;16;17;18;17;15;14;0;0;0;0;0;0;85;85;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:37.384;TwistZ_;6.779228;1;10;1438;1428;1933;1774;1725;1621;1640;1582;1602;1559;0;0;0;0;0;0;15;13;15;14;12;14;13;16;20;14;0;0;0;0;0;0;78;57;100;100;78;42;71;86;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:37.632;TwistS_;6.779228;1;10;1203;1709;1824;1728;1695;1686;1690;1611;1632;1561;0;0;0;0;0;0;11;12;14;16;15;15;15;14;18;15;0;0;0;0;0;0;92;78;100;100;100;100;100;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-16:50:37.881;TwistZ_;6.779228;1;10;1582;1735;1947;1893;1757;1677;1704;1653;1657;1576;0;0;0;0;0;0;14;12;12;12;15;14;19;13;15;14;0;0;0;0;0;0;50;57;86;92;100;78;78;93;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
