DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-13:37:46.138;TwistZ_;6.773518;1;10;1201;1230;1477;1386;1062;996;1058;1020;809;797;0;0;0;0;0;0;15;12;11;12;13;14;16;11;15;14;0;0;0;0;0;0;85;78;93;42;57;100;100;80;78;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:46.386;TwistS_;6.773186;1;10;644;1234;1371;1736;1787;1535;1181;1699;0;878;0;0;0;0;0;0;17;15;15;12;15;14;12;11;0;19;0;0;0;0;0;0;100;92;100;100;93;100;80;35;0;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:46.634;TwistZ_;6.773186;1;10;910;1929;1958;1770;1644;1625;1598;1619;1628;1477;0;0;0;0;0;0;15;15;15;17;16;16;15;20;17;13;0;0;0;0;0;0;92;93;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:46.882;TwistS_;6.773186;1;10;845;1816;0;1894;1660;1618;1489;1494;1527;1489;0;0;0;0;0;0;14;12;0;11;11;16;15;13;13;19;0;0;0;0;0;0;50;28;0;21;60;92;100;85;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:47.130;TwistZ_;6.773186;1;10;1048;1616;1695;1669;1791;1730;1621;1590;1598;1381;0;0;0;0;0;0;16;13;16;13;16;18;13;14;12;13;0;0;0;0;0;0;64;85;100;100;100;100;85;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:47.374;TwistS_;6.782645;1;10;1365;1486;1770;1718;1611;1682;1628;1539;1555;1489;0;0;0;0;0;0;12;13;16;14;13;14;14;15;13;15;0;0;0;0;0;0;71;57;93;85;100;100;100;100;78;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:47.623;TwistZ_;6.782645;1;10;937;1376;1812;1714;1728;1686;1621;1695;1703;1665;0;0;0;0;0;0;13;16;16;14;15;16;21;21;19;18;0;0;0;0;0;0;14;93;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:47.870;TwistS_;6.782645;1;10;621;1911;2028;1738;1541;1540;1489;1448;1443;1274;0;0;0;0;0;0;16;14;12;11;13;18;19;15;13;13;0;0;0;0;0;0;92;92;53;64;92;100;100;93;78;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:48.119;TwistZ_;6.782645;1;10;933;834;1900;1644;1648;1648;1686;1645;1535;1464;0;0;0;0;0;0;13;12;10;15;18;22;21;12;13;14;0;0;0;0;0;0;100;28;50;100;100;100;100;85;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:48.360;TwistS_;6.78062;1;10;1144;1835;1941;1937;1921;1736;1711;1669;1606;1479;0;0;0;0;0;0;15;14;14;17;17;18;17;16;12;12;0;0;0;0;0;0;92;85;100;100;100;100;100;85;85;57;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:48.607;TwistZ_;6.78062;1;10;1451;2109;1933;1824;1895;1847;1789;1675;1690;1640;0;0;0;0;0;0;13;10;13;16;13;13;13;15;17;12;0;0;0;0;0;0;64;7;86;100;100;92;92;66;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:48.855;TwistS_;6.78062;1;10;1107;1684;2187;703;1757;1779;1678;1613;1548;1494;0;0;0;0;0;0;15;11;11;11;12;15;15;11;14;16;0;0;0;0;0;0;71;57;40;14;21;78;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:49.104;TwistZ_;6.78062;1;10;688;1555;1925;1736;1678;1732;1741;1628;1590;1481;0;0;0;0;0;0;13;16;18;15;21;23;16;16;14;14;0;0;0;0;0;0;57;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-13:37:49.352;TwistS_;6.781088;1;10;1032;1805;1875;1720;1657;1611;1618;1539;1600;1523;0;0;0;0;0;0;14;15;15;14;13;14;17;17;14;14;0;0;0;0;0;0;92;78;100;100;100;100;92;100;92;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
