DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-07:04:47.834;TwistS_;6.788608;1;10;1154;1397;1607;1510;1414;1343;1335;1343;1418;1401;0;0;0;0;0;0;14;20;22;24;19;17;18;18;16;16;0;0;0;0;0;0;71;92;100;100;100;100;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:48.082;TwistZ_;6.780953;1;10;1214;1545;1796;1682;1623;1544;1523;1492;1523;1146;0;0;0;0;0;0;16;18;20;19;20;21;19;16;12;11;0;0;0;0;0;0;78;57;100;100;100;100;100;100;21;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:48.330;TwistS_;6.780953;1;10;1186;1157;1625;1459;1494;1503;1481;1381;1347;1213;0;0;0;0;0;0;14;11;13;13;12;12;13;13;13;17;0;0;0;0;0;0;85;85;100;85;71;42;50;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:48.579;TwistZ_;6.780953;1;10;1184;1435;1582;1547;1531;1456;1427;1506;1523;1217;0;0;0;0;0;0;12;11;14;14;18;13;14;17;12;13;0;0;0;0;0;0;64;42;80;85;100;100;100;93;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:48.826;TwistS_;6.780953;1;10;1129;1299;1749;1724;1594;1527;1523;1490;1347;1257;0;0;0;0;0;0;12;18;21;20;23;23;19;13;11;13;0;0;0;0;0;0;78;78;100;100;100;100;100;64;35;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:49.067;TwistZ_;6.778214;1;10;960;1132;1598;1498;1450;1575;1464;1210;1328;1255;0;0;0;0;0;0;11;12;12;13;12;12;11;10;11;14;0;0;0;0;0;0;71;64;73;100;57;64;64;20;85;50;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:49.315;TwistS_;6.778214;1;10;1013;1382;1652;1803;1703;1488;1279;1376;1325;1510;0;0;0;0;0;0;11;15;14;16;17;11;11;15;12;12;0;0;0;0;0;0;71;71;100;100;100;71;42;53;92;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:49.571;TwistZ_;6.778214;1;10;1221;1384;1684;1457;1425;1359;1259;1474;1435;1382;0;0;0;0;0;0;16;12;16;12;11;12;10;13;12;12;0;0;0;0;0;0;92;73;85;57;42;33;57;85;80;35;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:49.811;TwistS_;6.778214;1;10;976;1326;1711;1640;1554;1460;1410;1393;1325;1196;0;0;0;0;0;0;16;16;18;19;25;22;16;18;15;17;0;0;0;0;0;0;85;100;100;100;100;100;100;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-07:04:50.059;TwistZ_;6.767156;1;10;1185;1501;1722;1674;1552;1498;1473;1527;1523;1312;0;0;0;0;0;0;14;17;20;20;16;17;16;18;12;15;0;0;0;0;0;0;92;57;100;100;100;100;100;86;64;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
