DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-19:00:35.305;TwistZ_;6.397634;1;10;1347;1834;1867;1682;1645;1538;1472;1475;1494;1333;0;0;0;0;0;0;10;15;11;15;19;21;17;15;16;11;0;0;0;0;0;0;27;36;83;63;100;100;90;100;100;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:35.561;TwistS_;6.387892;1;10;1406;1801;1798;1633;1586;1558;1494;1479;1420;1376;0;0;0;0;0;0;12;14;16;15;16;16;16;14;12;11;0;0;0;0;0;0;9;45;100;100;90;100;100;100;81;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:35.825;TwistZ_;6.387892;1;10;1064;1079;1812;1770;1637;1546;1530;1516;1558;1502;0;0;0;0;0;0;13;12;12;14;14;16;17;13;15;15;0;0;0;0;0;0;81;63;66;63;100;100;100;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:36.089;TwistS_;6.387892;1;10;688;1450;1775;1625;1582;1590;1534;1538;1455;1507;0;0;0;0;0;0;11;12;13;13;15;18;19;16;15;15;0;0;0;0;0;0;27;36;41;45;100;100;100;66;72;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:36.351;TwistZ_;6.387892;1;10;1048;1329;1739;1598;1530;1502;1434;1402;1486;1435;0;0;0;0;0;0;12;14;17;13;15;16;21;16;15;15;0;0;0;0;0;0;63;72;100;100;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:36.621;TwistS_;6.373042;1;10;1237;1472;1762;1606;1598;1613;1574;1510;1546;1450;0;0;0;0;0;0;13;11;12;13;14;16;17;14;18;14;0;0;0;0;0;0;54;36;83;100;100;100;100;91;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:36.878;TwistZ_;6.373042;1;10;1406;1333;1728;1709;1582;1546;1558;1530;1542;1461;0;0;0;0;0;0;11;11;14;12;18;18;15;15;18;12;0;0;0;0;0;0;63;27;100;100;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:37.142;TwistS_;6.373042;1;10;1388;1287;1871;1621;1542;1513;1524;1502;1542;1433;0;0;0;0;0;0;12;14;18;15;23;14;14;13;15;13;0;0;0;0;0;0;45;90;100;90;100;81;90;83;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:37.402;TwistZ_;6.373042;1;10;1164;1127;1739;1733;1560;1566;1538;1538;1526;1391;0;0;0;0;0;0;11;11;15;15;11;16;17;21;20;14;0;0;0;0;0;0;54;54;100;100;90;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:37.666;TwistS_;6.373583;1;10;1123;1488;1789;1604;1560;1494;1461;1485;1486;1314;0;0;0;0;0;0;13;18;13;19;14;10;12;12;12;15;0;0;0;0;0;0;81;66;100;54;100;54;72;45;50;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:37.930;TwistZ_;6.373583;1;10;1263;0;747;1651;1544;1556;1550;1570;1552;1411;0;0;0;0;0;0;12;0;11;10;13;16;19;14;14;17;0;0;0;0;0;0;72;0;27;63;58;63;100;100;81;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:38.195;TwistS_;6.373583;1;10;780;1784;1801;1616;1552;1574;1562;1588;1479;1397;0;0;0;0;0;0;11;15;14;12;19;18;14;11;16;15;0;0;0;0;0;0;36;41;72;81;100;100;81;63;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:38.458;TwistZ_;6.36674;1;10;1175;1499;1805;1590;1530;1514;1569;1590;1375;1381;0;0;0;0;0;0;12;15;15;16;20;20;19;10;12;13;0;0;0;0;0;0;72;81;91;100;100;100;63;41;90;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:38.722;TwistS_;6.36674;1;10;1164;1816;0;1669;1606;1546;1546;1567;1546;1458;0;0;0;0;0;0;11;10;0;12;12;17;16;17;18;14;0;0;0;0;0;0;90;27;0;45;81;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-19:00:38.986;TwistZ_;6.36674;1;10;1516;1872;1813;1645;1613;1582;1566;1527;1582;1430;0;0;0;0;0;0;12;11;14;15;20;20;22;16;13;13;0;0;0;0;0;0;54;45;91;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
