DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-17:42:21.587;TwistS_;2.756239;1;10;465;536;847;864;774;662;639;683;699;643;0;0;0;0;0;0;11;12;15;12;16;11;11;13;13;14;0;0;0;0;0;0;46;53;85;23;92;53;69;71;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:22.208;TwistZ_;2.744162;1;10;535;596;769;764;708;681;688;698;707;690;0;0;0;0;0;0;13;11;18;19;20;19;16;17;17;16;0;0;0;0;0;0;61;50;100;100;100;100;100;100;100;53;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:22.816;TwistS_;2.744162;1;10;534;593;627;664;615;624;632;666;649;663;0;0;0;0;0;0;10;13;12;11;12;14;11;12;12;17;0;0;0;0;0;0;23;57;84;30;23;85;69;46;92;76;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:23.424;TwistZ_;2.757169;1;10;270;608;703;703;626;629;645;593;711;650;0;0;0;0;0;0;14;14;11;10;11;13;12;11;11;17;0;0;0;0;0;0;46;71;15;7;61;78;76;15;71;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:24.033;TwistS_;2.747382;1;10;569;546;709;728;679;630;608;610;632;635;0;0;0;0;0;0;17;14;15;15;16;19;18;22;21;17;0;0;0;0;0;0;84;64;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:24.649;TwistZ_;2.747382;1;10;507;408;711;774;743;709;648;650;660;615;0;0;0;0;0;0;11;12;17;22;20;16;12;16;22;18;0;0;0;0;0;0;69;85;100;100;100;71;92;61;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:25.257;TwistS_;2.735502;1;10;364;395;726;755;740;676;669;684;685;633;0;0;0;0;0;0;11;12;17;22;19;15;15;15;18;17;0;0;0;0;0;0;53;57;92;100;100;100;100;92;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:25.874;TwistZ_;2.735502;1;10;637;384;725;776;772;694;652;676;668;659;0;0;0;0;0;0;16;13;10;13;12;15;14;19;16;10;0;0;0;0;0;0;38;57;23;64;100;100;100;100;100;15;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:26.486;TwistS_;2.73813;1;10;479;444;615;659;626;645;681;698;647;638;0;0;0;0;0;0;12;10;12;10;11;10;10;17;12;17;0;0;0;0;0;0;46;28;23;7;71;38;46;100;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-17:42:27.094;TwistZ_;2.742865;1;10;508;513;738;760;714;689;682;684;693;664;0;0;0;0;0;0;12;15;19;24;24;21;15;19;21;16;0;0;0;0;0;0;61;92;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
