DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-14:00:43.004;TwistZ_;6.796111;1;10;1093;1370;1762;1736;1611;1585;1586;1544;1611;1452;0;0;0;0;0;0;15;17;19;17;17;22;20;18;20;15;0;0;0;0;0;0;85;92;85;100;100;100;100;100;100;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:43.251;TwistS_;6.796111;1;10;1215;1251;2063;1833;1715;1644;1523;1539;1607;1576;0;0;0;0;0;0;13;14;16;21;23;23;18;18;15;12;0;0;0;0;0;0;85;78;93;100;100;100;100;100;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:43.491;TwistZ_;6.796111;1;10;1171;1242;1878;1795;1607;1611;1602;1542;1502;1518;0;0;0;0;0;0;13;12;18;17;16;22;21;18;19;17;0;0;0;0;0;0;57;71;100;100;100;100;100;100;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:43.740;TwistS_;6.796111;1;10;953;1523;1863;1757;1699;1699;1657;1597;1565;1503;0;0;0;0;0;0;13;14;13;13;11;13;14;15;13;12;0;0;0;0;0;0;78;78;100;92;42;100;100;100;100;85;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:43.988;TwistZ_;6.801588;1;10;987;1388;1766;1644;1644;1648;1681;1661;1591;1565;0;0;0;0;0;0;16;16;13;17;16;16;12;12;13;13;0;0;0;0;0;0;50;92;93;100;100;100;71;73;92;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:44.236;TwistS_;6.801588;1;10;681;0;1681;1607;1527;1482;1489;1471;1459;1372;0;0;0;0;0;0;13;0;13;14;15;15;15;14;11;12;0;0;0;0;0;0;57;0;86;50;100;92;100;60;78;50;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:44.484;TwistZ_;6.801588;1;10;1068;1486;1652;1552;1586;1611;1628;1582;1562;1519;0;0;0;0;0;0;13;14;12;12;15;16;16;18;15;14;0;0;0;0;0;0;92;78;66;85;100;100;100;100;64;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:44.732;TwistS_;6.801588;1;10;837;1367;1878;1628;1582;1619;1569;1574;1594;1480;0;0;0;0;0;0;15;14;17;13;18;21;23;18;13;15;0;0;0;0;0;0;50;64;100;100;100;100;100;100;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:44.981;TwistZ_;6.792646;1;10;1139;1234;1753;1699;1686;1721;1699;1699;1672;1259;0;0;0;0;0;0;15;13;13;14;13;14;17;16;14;11;0;0;0;0;0;0;78;92;93;100;100;92;100;100;92;57;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:45.228;TwistS_;6.792646;1;10;1033;1586;2085;1858;1628;1611;1653;1609;1619;1502;0;0;0;0;0;0;13;14;15;16;23;21;19;17;18;13;0;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:45.476;TwistZ_;6.792646;1;10;1389;1508;1746;1636;1602;1644;1576;1542;1540;1480;0;0;0;0;0;0;12;14;14;12;12;11;14;12;12;13;0;0;0;0;0;0;50;85;100;92;100;100;71;60;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:45.716;TwistS_;6.792646;1;10;1103;1453;1824;1699;1623;1611;1743;1591;1582;1514;0;0;0;0;0;0;13;14;13;12;11;12;14;13;12;13;0;0;0;0;0;0;85;71;100;50;66;57;57;92;78;92;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:45.965;TwistZ_;6.780926;1;10;1152;1331;1722;1625;1678;1644;1649;1540;1573;1398;0;0;0;0;0;0;11;13;12;14;16;17;15;12;11;15;0;0;0;0;0;0;42;78;66;85;100;100;92;93;92;57;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:46.213;TwistS_;6.780926;1;10;1201;1509;1883;1586;1594;1594;1619;1578;1590;1528;0;0;0;0;0;0;13;16;18;22;24;23;25;20;13;14;0;0;0;0;0;0;85;92;93;100;100;100;100;100;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:46.461;TwistZ_;6.780926;1;10;957;1555;1662;1678;1653;1695;1690;1605;0;1451;0;0;0;0;0;0;15;17;11;14;13;17;15;12;0;13;0;0;0;0;0;0;64;73;57;100;100;100;92;71;0;64;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:46.709;TwistS_;6.780926;1;10;1382;1708;1942;1732;1657;1621;1615;1623;1586;1478;0;0;0;0;0;0;14;15;12;21;24;22;22;15;13;13;0;0;0;0;0;0;35;85;92;100;100;100;100;100;100;92;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:46.957;TwistZ_;6.77967;1;10;1058;1439;1667;1704;1669;1630;1623;1608;1640;1322;0;0;0;0;0;0;15;14;13;12;13;15;13;13;11;11;0;0;0;0;0;0;100;50;86;78;100;85;71;73;57;50;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:47.205;TwistS_;6.77967;1;10;1117;1763;1960;1812;1644;1535;1577;1608;1590;1523;0;0;0;0;0;0;13;17;13;17;22;20;17;14;15;14;0;0;0;0;0;0;92;71;86;100;100;100;100;73;100;78;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
2021-01-05-14:00:47.445;TwistZ_;6.77967;1;10;1027;1710;1976;1908;1699;1661;1540;1492;1479;1418;0;0;0;0;0;0;16;18;17;15;23;23;18;16;17;15;0;0;0;0;0;0;92;71;100;100;100;100;100;100;85;100;0;0;0;0;0;1023;1023;0;0;1023;0;0;0
