DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-15:06:20.500;TwistS_;6.821509;1;10;1298;1648;2153;1933;1828;1746;1685;1510;1627;1469;0;0;0;0;0;0;12;12;16;11;17;19;14;14;12;13;0;0;0;0;0;0;85;46;85;14;71;100;92;100;86;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:20.749;TwistZ_;6.821509;1;10;1217;1406;1787;1762;1720;1674;1665;1640;1720;1582;0;0;0;0;0;0;14;14;13;15;17;16;18;15;19;14;0;0;0;0;0;0;100;78;93;92;100;100;100;100;100;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:20.997;TwistS_;6.821509;1;10;1069;1656;1967;1866;1741;1722;1653;1661;1640;1632;0;0;0;0;0;0;12;15;16;15;16;16;17;18;19;17;0;0;0;0;0;0;85;78;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:21.245;TwistZ_;6.821509;1;10;1308;1665;1972;1856;1738;1686;1602;1646;1621;1535;0;0;0;0;0;0;11;10;13;15;17;18;17;15;13;17;0;0;0;0;0;0;85;46;42;92;100;100;100;71;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:21.493;TwistS_;6.825536;1;10;1648;1718;1921;1665;1657;1590;1586;1546;1527;1481;0;0;0;0;0;0;13;12;19;14;15;13;16;15;15;15;0;0;0;0;0;0;50;64;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:21.733;TwistZ_;6.825536;1;10;1096;1456;1845;1749;1665;1665;1640;1573;1573;1464;0;0;0;0;0;0;15;12;13;12;17;16;16;15;18;15;0;0;0;0;0;0;100;50;93;100;100;100;85;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:21.989;TwistS_;6.825536;1;10;1248;1289;1924;1733;1920;1728;1611;1648;1607;1540;0;0;0;0;0;0;12;12;12;12;14;14;13;15;16;12;0;0;0;0;0;0;71;50;86;85;92;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:22.238;TwistZ_;6.825536;1;10;1196;1619;1975;1747;1676;1742;1686;1682;1750;1845;0;0;0;0;0;0;12;14;10;12;15;20;17;17;17;10;0;0;0;0;0;0;85;73;50;78;92;100;100;100;100;28;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:22.485;TwistS_;6.812396;1;10;932;1816;1983;1823;1640;1671;1676;1506;1552;1561;0;0;0;0;0;0;13;18;14;10;13;18;14;13;20;19;0;0;0;0;0;0;78;64;100;57;85;100;92;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:22.726;TwistZ_;6.812396;1;10;1316;1440;1816;1762;1757;1791;1803;1796;1732;1654;0;0;0;0;0;0;14;12;16;15;16;16;19;19;17;14;0;0;0;0;0;0;92;85;93;92;100;85;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:22.974;TwistS_;6.812396;1;10;1093;1699;1992;1938;1766;1780;1733;1605;1621;1565;0;0;0;0;0;0;13;13;12;11;17;17;17;14;15;15;0;0;0;0;0;0;64;78;66;78;100;92;85;100;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:23.226;TwistZ_;6.812396;1;10;1243;1586;1812;1743;1683;1745;1741;1644;1675;1573;0;0;0;0;0;0;16;12;14;15;17;20;18;20;18;17;0;0;0;0;0;0;100;86;100;85;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:23.474;TwistS_;6.79268;1;10;1020;1645;2008;1999;1862;1895;1761;1675;1648;1577;0;0;0;0;0;0;15;15;15;13;17;17;18;15;16;13;0;0;0;0;0;0;85;78;93;57;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-15:06:23.716;TwistZ_;6.79268;1;10;1225;1721;1808;1689;1724;1669;1690;1628;1678;1611;0;0;0;0;0;0;14;11;17;12;17;17;19;16;16;16;0;0;0;0;0;0;92;57;100;85;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
