DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-15:44:41.646;TwistZ_;6.376386;1;10;1418;1340;1914;1845;1653;1611;1565;1538;1530;1398;0;0;0;0;0;0;15;13;13;15;15;15;15;19;14;12;0;0;0;0;0;0;63;83;81;63;100;100;72;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:41.911;TwistS_;6.359815;1;10;0;1845;1878;1745;1544;1522;1568;1556;1490;1412;0;0;0;0;0;0;0;17;20;16;13;15;14;14;16;14;0;0;0;0;0;0;0;36;100;100;63;100;90;100;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:42.175;TwistZ_;6.359815;1;10;1333;527;1805;1718;1645;1582;1510;1527;1524;1420;0;0;0;0;0;0;17;12;15;17;13;13;11;13;13;12;0;0;0;0;0;0;54;27;91;81;81;90;72;100;90;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:42.438;TwistS_;6.359815;1;10;958;1396;1871;1705;1574;1486;1472;1402;1477;1428;0;0;0;0;0;0;13;13;19;14;18;16;15;15;13;13;0;0;0;0;0;0;100;81;100;100;100;100;72;100;72;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:42.703;TwistZ_;6.359815;1;10;1318;1224;1741;1713;1589;1613;1570;1518;1530;1399;0;0;0;0;0;0;14;13;15;17;20;18;16;13;18;11;0;0;0;0;0;0;36;58;100;100;100;100;100;81;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:42.968;TwistS_;6.367503;1;10;1205;1245;1713;1656;1574;1446;1442;1398;1450;1425;0;0;0;0;0;0;11;14;15;18;17;15;15;14;17;17;0;0;0;0;0;0;63;54;100;90;100;100;100;91;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:43.223;TwistZ_;6.367503;1;10;0;1538;1745;1693;0;1538;1550;1596;1562;1441;0;0;0;0;0;0;0;15;13;13;0;13;12;18;15;14;0;0;0;0;0;0;0;54;58;100;0;45;100;100;100;45;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:43.487;TwistS_;6.367503;1;10;1175;1356;1834;1691;1621;1521;1417;1425;1428;1378;0;0;0;0;0;0;11;11;14;13;14;11;15;13;15;18;0;0;0;0;0;0;36;63;66;72;100;72;72;58;36;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:43.753;TwistZ_;6.366262;1;10;1048;1170;1779;1705;1606;1526;1582;1538;1574;1455;0;0;0;0;0;0;14;15;16;14;17;22;20;18;14;13;0;0;0;0;0;0;63;72;100;100;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-15:44:44.016;TwistS_;6.366262;1;10;0;1279;1708;1687;1494;1526;1502;1419;1470;1382;0;0;0;0;0;0;0;12;11;13;16;16;12;17;14;16;0;0;0;0;0;0;0;81;75;90;36;100;45;83;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
