DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-10:56:55.702;TwistZ_;6.375304;1;10;1450;1538;1764;1637;1635;1599;1640;1635;1607;1704;0;0;0;0;0;0;10;10;12;12;12;11;14;11;11;15;0;0;0;0;0;0;18;9;58;100;81;45;54;75;63;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:55.966;TwistS_;6.367408;1;10;0;1108;1872;1821;1679;1665;1665;1704;1697;1695;0;0;0;0;0;0;0;13;14;13;13;16;16;14;17;14;0;0;0;0;0;0;0;81;90;100;81;100;100;81;100;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:56.238;TwistZ_;6.367408;1;10;1091;1137;1406;1657;2098;1757;1606;1494;1318;966;0;0;0;0;0;0;13;13;17;22;16;11;13;13;15;14;0;0;0;0;0;0;50;81;100;100;100;50;100;83;45;75;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:56.488;TwistS_;6.367408;1;10;571;2153;1208;834;838;913;1302;830;942;866;0;0;0;0;0;0;10;12;10;23;18;16;11;17;13;10;0;0;0;0;0;0;18;36;18;45;100;90;100;100;81;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:56.766;TwistZ_;6.367408;1;10;775;1494;1340;0;791;1177;818;1088;0;567;0;0;0;0;0;0;12;16;11;0;10;11;17;12;0;14;0;0;0;0;0;0;91;36;83;0;16;83;100;75;0;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:57.022;TwistS_;6.375591;1;10;791;2021;922;870;816;854;834;845;1625;889;0;0;0;0;0;0;11;11;12;15;23;20;14;14;10;10;0;0;0;0;0;0;36;54;18;45;100;100;63;72;9;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:57.287;TwistZ_;6.375591;1;10;615;1872;1761;1582;1530;1498;1562;1528;1546;1552;0;0;0;0;0;0;11;12;16;14;14;15;14;11;13;11;0;0;0;0;0;0;27;41;100;100;100;83;100;81;83;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:57.551;TwistS_;6.375591;1;10;1494;1838;1777;1613;1611;1669;1691;1669;1625;1445;0;0;0;0;0;0;11;13;14;14;14;16;12;12;17;14;0;0;0;0;0;0;36;54;81;100;100;100;36;27;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:57.815;TwistZ_;6.375591;1;10;1425;1076;1721;1637;1609;1645;1633;1607;1612;1611;0;0;0;0;0;0;17;11;17;14;17;20;16;18;15;14;0;0;0;0;0;0;63;18;100;100;100;100;100;100;90;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:56:58.071;TwistS_;6.397602;1;10;0;1111;1880;1749;1745;1721;1701;1691;1655;1681;0;0;0;0;0;0;0;12;14;13;16;18;21;16;12;18;0;0;0;0;0;0;0;63;83;100;100;100;100;83;54;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
