DT#2020-01-21-08:27:02;_Stage2_Tack_Full_;AVERAGE;-1
2020-01-21-08:27:02.377;_Stage2_Tack_Full_;cold_machine;0.4691236
2020-01-21-08:27:13.977;_Stage2_Tack_Full_;cold_machine;0.4736129
2020-01-21-08:27:25.577;_Stage2_Tack_Full_;cold_machine;0.4743869
