DT#2020-01-23-11:19:18;_TwistZ_Full_;AVERAGE;0.8110856;-1;-1;-1;-1;-1;-1
2020-01-23-14:58:17.591;_TwistZ_Full_;monitor_sample;0.793699;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-14:58:40.991;_TwistZ_Full_;monitor_sample;0.7910737;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-14:59:04.391;_TwistZ_Full_;monitor_sample;0.8005788;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-14:59:27.791;_TwistZ_Full_;monitor_sample;0.7988388;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-14:59:51.191;_TwistZ_Full_;monitor_sample;0.7872333;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:00:14.592;_TwistZ_Full_;monitor_sample;0.8008732;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:00:37.992;_TwistZ_Full_;monitor_sample;0.7987546;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:01:01.392;_TwistZ_Full_;monitor_sample;0.7945602;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:01:24.792;_TwistZ_Full_;monitor_sample;0.7920395;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:01:47.996;_TwistZ_Full_;monitor_sample;0.7966799;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:02:11.393;_TwistZ_Full_;monitor_sample;0.7930822;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:02:34.793;_TwistZ_Full_;monitor_sample;0.7930242;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:02:58.197;_TwistZ_Full_;monitor_sample;0.7938356;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:03:21.593;_TwistZ_Full_;monitor_sample;0.803306;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:03:44.993;_TwistZ_Full_;monitor_sample;0.7978134;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:04:08.394;_TwistZ_Full_;monitor_sample;0.7863222;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:04:31.794;_TwistZ_Full_;monitor_sample;0.7912472;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:04:55.194;_TwistZ_Full_;monitor_sample;0.793533;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:05:18.394;_TwistZ_Full_;monitor_sample;0.7902032;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:05:41.794;_TwistZ_Full_;monitor_sample;0.7949906;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:06:05.195;_TwistZ_Full_;monitor_sample;0.8029821;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:06:28.595;_TwistZ_Full_;monitor_sample;0.8039741;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:06:51.996;_TwistZ_Full_;monitor_sample;0.7892778;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:07:15.395;_TwistZ_Full_;monitor_sample;0.7905974;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:07:38.796;_TwistZ_Full_;monitor_sample;0.797094;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:08:02.196;_TwistZ_Full_;monitor_sample;0.7912678;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:08:25.596;_TwistZ_Full_;monitor_sample;0.7971102;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:08:48.796;_TwistZ_Full_;monitor_sample;0.7879281;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:09:12.196;_TwistZ_Full_;monitor_sample;0.7875606;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:12:25.198;_TwistZ_Full_;speed_change_monitor;0.7983638;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:12:48.598;_TwistZ_Full_;speed_change_monitor;0.7886864;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23-15:13:11.999;_TwistZ_Full_;monitor_sample;0.7960608;0.0;0.0;0.0;0.0;0.0;0.0
